record_type,business_id,name,full_address,city,state,stars,review_count,open,category
category,4qHUHUYAu04kdlxMOgJdIA,"Stella's Coffee House & Lunch Grotto","1430 W Warner Rd Gilbert, AZ 85233",Gilbert,AZ,4.5,11,False,"Food"
category,4qHUHUYAu04kdlxMOgJdIA,"Stella's Coffee House & Lunch Grotto","1430 W Warner Rd Gilbert, AZ 85233",Gilbert,AZ,4.5,11,False,"Coffee & Tea"
category,4qHUHUYAu04kdlxMOgJdIA,"Stella's Coffee House & Lunch Grotto","1430 W Warner Rd Gilbert, AZ 85233",Gilbert,AZ,4.5,11,False,"Arts & Entertainment"
category,4kVakngmi0vfTmRCowcS4Q,"Hub Cap Annie","2112 E Charleston Boulevard Downtown Las Vegas, NV 89104",Las Vegas,NV,5.0,8,True,"Tires"
category,4kVakngmi0vfTmRCowcS4Q,"Hub Cap Annie","2112 E Charleston Boulevard Downtown Las Vegas, NV 89104",Las Vegas,NV,5.0,8,True,"Automotive"
category,4kVakngmi0vfTmRCowcS4Q,"Hub Cap Annie","2112 E Charleston Boulevard Downtown Las Vegas, NV 89104",Las Vegas,NV,5.0,8,True,"Wheel & Rim Repair"
category,4kVakngmi0vfTmRCowcS4Q,"Hub Cap Annie","2112 E Charleston Boulevard Downtown Las Vegas, NV 89104",Las Vegas,NV,5.0,8,True,"Auto Parts & Supplies"
category,CkImMpjQrEOjyohxzPbqtw,"Hwy 55 Burgers Shakes & Fries","8451 Davis Lake Pkwy Ste B-1 Charlotte, NC 28269",Charlotte,NC,3.0,18,True,"Burgers"
category,CkImMpjQrEOjyohxzPbqtw,"Hwy 55 Burgers Shakes & Fries","8451 Davis Lake Pkwy Ste B-1 Charlotte, NC 28269",Charlotte,NC,3.0,18,True,"Cheesesteaks"
category,CkImMpjQrEOjyohxzPbqtw,"Hwy 55 Burgers Shakes & Fries","8451 Davis Lake Pkwy Ste B-1 Charlotte, NC 28269",Charlotte,NC,3.0,18,True,"American (Traditional)"
category,CkImMpjQrEOjyohxzPbqtw,"Hwy 55 Burgers Shakes & Fries","8451 Davis Lake Pkwy Ste B-1 Charlotte, NC 28269",Charlotte,NC,3.0,18,True,"Restaurants"
category,CkFFL2W3ChkOqHJj6GSk_g,"Lucky Cheng's Restaurant","Planet Hollywood, Miracle Mile, Krave 3663 S Las Vegas Blvd The Strip Las Vegas, NV 89109",Las Vegas,NV,3.5,10,True,"Asian Fusion"
category,CkFFL2W3ChkOqHJj6GSk_g,"Lucky Cheng's Restaurant","Planet Hollywood, Miracle Mile, Krave 3663 S Las Vegas Blvd The Strip Las Vegas, NV 89109",Las Vegas,NV,3.5,10,True,"Restaurants"
category,UkG_OE3YRT1Q8lYavZRsTA,"Guitar Gallery","10243 N Scottsdale Rd Paradise Valley, AZ 85253",Paradise Valley,AZ,5.0,12,True,"Musical Instruments & Teachers"
category,UkG_OE3YRT1Q8lYavZRsTA,"Guitar Gallery","10243 N Scottsdale Rd Paradise Valley, AZ 85253",Paradise Valley,AZ,5.0,12,True,"Shopping"
category,2VK0NrB3agVOYmpkMKKrsg,"Carmine's Tuscany Grill","7400 Boulevard Taschereau Brossard, QC J4W 1M9",Brossard,QC,4.0,4,True,"Restaurants"
category,2VK0NrB3agVOYmpkMKKrsg,"Carmine's Tuscany Grill","7400 Boulevard Taschereau Brossard, QC J4W 1M9",Brossard,QC,4.0,4,True,"Italian"
category,GQuUFerQlnyRoOGdA63EKA,"Omni Dermatology Corporation","4840 E Indian School Rd Ste 102 Phoenix, AZ 85018",Phoenix,AZ,2.5,14,True,"Dermatologists"
category,GQuUFerQlnyRoOGdA63EKA,"Omni Dermatology Corporation","4840 E Indian School Rd Ste 102 Phoenix, AZ 85018",Phoenix,AZ,2.5,14,True,"Doctors"
category,GQuUFerQlnyRoOGdA63EKA,"Omni Dermatology Corporation","4840 E Indian School Rd Ste 102 Phoenix, AZ 85018",Phoenix,AZ,2.5,14,True,"Health & Medical"
category,o3ygnV9KOcKPAk8-bX5OnQ,"Gerardo's Classic Barber Shop","5725 Losee Rd North Las Vegas, NV 89081",North Las Vegas,NV,3.0,4,True,"Barbers"
category,o3ygnV9KOcKPAk8-bX5OnQ,"Gerardo's Classic Barber Shop","5725 Losee Rd North Las Vegas, NV 89081",North Las Vegas,NV,3.0,4,True,"Beauty & Spas"
category,D5zcXx5399TxpjHFxa4uaA,"Librairie Michel Fortin","3714 Saint-Denis Rue Montreal, QC H2X 3L7",Montreal,QC,4.5,3,True,"Books, Mags, Music & Video"
category,D5zcXx5399TxpjHFxa4uaA,"Librairie Michel Fortin","3714 Saint-Denis Rue Montreal, QC H2X 3L7",Montreal,QC,4.5,3,True,"Shopping"
category,D5zcXx5399TxpjHFxa4uaA,"Librairie Michel Fortin","3714 Saint-Denis Rue Montreal, QC H2X 3L7",Montreal,QC,4.5,3,True,"Bookstores"
category,zSd8ZTV6T5Pyf0mccgvJDg,"Rosati's Pizza","2040 S Alma School Rd Ste 1 Chandler, AZ 85248",Chandler,AZ,4.0,32,True,"Pizza"
category,zSd8ZTV6T5Pyf0mccgvJDg,"Rosati's Pizza","2040 S Alma School Rd Ste 1 Chandler, AZ 85248",Chandler,AZ,4.0,32,True,"Restaurants"
category,-eE4PAWu5FBRnAvbIMzWqg,"Quilted Bear","6316 N Scottsdale Road Paradise Valley, AZ 85253",Paradise Valley,AZ,2.0,4,False,"Restaurants"
category,YbL6pbLmW_mohngendXsQA,"Boulevard Deli","309 Smithfield St Downtown Pittsburgh, PA 15222",Pittsburgh,PA,4.5,3,True,"Delis"
category,YbL6pbLmW_mohngendXsQA,"Boulevard Deli","309 Smithfield St Downtown Pittsburgh, PA 15222",Pittsburgh,PA,4.5,3,True,"Restaurants"
category,a2FM4GSmoCCUjHIOy7kc5Q,"Pizza Hut","642 E. Horizon Drive #130 Henderson, NV 89015",Henderson,NV,3.5,8,True,"Pizza"
category,a2FM4GSmoCCUjHIOy7kc5Q,"Pizza Hut","642 E. Horizon Drive #130 Henderson, NV 89015",Henderson,NV,3.5,8,True,"Restaurants"
category,WUZxVr_CaRqEQgzvyeK5tw,"IKEA","2110 W Ikea Way Tempe, AZ 85281",Tempe,AZ,3.5,303,True,"Shopping"
category,WUZxVr_CaRqEQgzvyeK5tw,"IKEA","2110 W Ikea Way Tempe, AZ 85281",Tempe,AZ,3.5,303,True,"Home Decor"
category,WUZxVr_CaRqEQgzvyeK5tw,"IKEA","2110 W Ikea Way Tempe, AZ 85281",Tempe,AZ,3.5,303,True,"Home & Garden"
category,WUZxVr_CaRqEQgzvyeK5tw,"IKEA","2110 W Ikea Way Tempe, AZ 85281",Tempe,AZ,3.5,303,True,"Furniture Stores"
category,z47ia1JAnn6V6BSeH-pvfA,"Ichiban Ramen","1813, Sainte-Catherine Ouest Montréal, QC H3H 1M1",Montréal,QC,2.5,3,False,"Japanese"
category,z47ia1JAnn6V6BSeH-pvfA,"Ichiban Ramen","1813, Sainte-Catherine Ouest Montréal, QC H3H 1M1",Montréal,QC,2.5,3,False,"Restaurants"
category,b8JjgOCy9Wc6-mrnnA70sg,"Magic Pest Control","700 N Golden Key St Ste A7 Gilbert, AZ 85233",Gilbert,AZ,4.0,18,True,"Local Services"
category,b8JjgOCy9Wc6-mrnnA70sg,"Magic Pest Control","700 N Golden Key St Ste A7 Gilbert, AZ 85233",Gilbert,AZ,4.0,18,True,"Pest Control"
category,amluA1icyExbdh9UQtvZrA,"Fishers","1 Shore Leith Edinburgh EH6 6QW",Edinburgh,EDH,4.5,21,True,"Seafood"
category,amluA1icyExbdh9UQtvZrA,"Fishers","1 Shore Leith Edinburgh EH6 6QW",Edinburgh,EDH,4.5,21,True,"Restaurants"
category,9_FV_-Z72yiWRTJa5VXzuA,"Cash For Gold of Las Vegas","8565 W Sahara Ave Ste 112a Westside Las Vegas, NV 89117",Las Vegas,NV,2.5,5,True,"Shopping"
category,9_FV_-Z72yiWRTJa5VXzuA,"Cash For Gold of Las Vegas","8565 W Sahara Ave Ste 112a Westside Las Vegas, NV 89117",Las Vegas,NV,2.5,5,True,"Watches"
category,9_FV_-Z72yiWRTJa5VXzuA,"Cash For Gold of Las Vegas","8565 W Sahara Ave Ste 112a Westside Las Vegas, NV 89117",Las Vegas,NV,2.5,5,True,"Pawn Shops"
category,9_FV_-Z72yiWRTJa5VXzuA,"Cash For Gold of Las Vegas","8565 W Sahara Ave Ste 112a Westside Las Vegas, NV 89117",Las Vegas,NV,2.5,5,True,"Jewelry"
category,wn7GiuOQ_0VrPXNc1wVTDA,"Fatburger","2815 W Peoria Ave Space A-108 Phoenix, AZ 85029",Phoenix,AZ,3.0,23,False,"Burgers"
category,wn7GiuOQ_0VrPXNc1wVTDA,"Fatburger","2815 W Peoria Ave Space A-108 Phoenix, AZ 85029",Phoenix,AZ,3.0,23,False,"American (Traditional)"
category,wn7GiuOQ_0VrPXNc1wVTDA,"Fatburger","2815 W Peoria Ave Space A-108 Phoenix, AZ 85029",Phoenix,AZ,3.0,23,False,"Fast Food"
category,wn7GiuOQ_0VrPXNc1wVTDA,"Fatburger","2815 W Peoria Ave Space A-108 Phoenix, AZ 85029",Phoenix,AZ,3.0,23,False,"Restaurants"
category,YkgYT5kfaDSq9IgsGvmS3g,"Jalisco Cantina","3460 E Sunset Rd Ste D Southeast Las Vegas, NV 89120",Las Vegas,NV,3.5,71,True,"Mexican"
category,YkgYT5kfaDSq9IgsGvmS3g,"Jalisco Cantina","3460 E Sunset Rd Ste D Southeast Las Vegas, NV 89120",Las Vegas,NV,3.5,71,True,"Restaurants"
category,K_l1UzNFe3DEo2D1XokkXw,"Garden of England Flowers","1219 E Glendale Ave Ste 6 Phoenix, AZ 85020",Phoenix,AZ,4.5,4,False,"Flowers & Gifts"
category,K_l1UzNFe3DEo2D1XokkXw,"Garden of England Flowers","1219 E Glendale Ave Ste 6 Phoenix, AZ 85020",Phoenix,AZ,4.5,4,False,"Shopping"
category,K_l1UzNFe3DEo2D1XokkXw,"Garden of England Flowers","1219 E Glendale Ave Ste 6 Phoenix, AZ 85020",Phoenix,AZ,4.5,4,False,"Party & Event Planning"
category,K_l1UzNFe3DEo2D1XokkXw,"Garden of England Flowers","1219 E Glendale Ave Ste 6 Phoenix, AZ 85020",Phoenix,AZ,4.5,4,False,"Florists"
category,K_l1UzNFe3DEo2D1XokkXw,"Garden of England Flowers","1219 E Glendale Ave Ste 6 Phoenix, AZ 85020",Phoenix,AZ,4.5,4,False,"Event Planning & Services"
category,ubyQZRkJAnAw1uYj-7zYLQ,"AMF Chandler Lanes","1900 N. Arizona Ave. Chandler, AZ 85224",Chandler,AZ,3.0,10,True,"Active Life"
category,ubyQZRkJAnAw1uYj-7zYLQ,"AMF Chandler Lanes","1900 N. Arizona Ave. Chandler, AZ 85224",Chandler,AZ,3.0,10,True,"Bowling"
category,sZ2vDfComr7Z8Gab74flWw,"Fast-Fix Jewelry Repairs","3680 S Maryland Pkwy Eastside Las Vegas, NV 89109",Las Vegas,NV,3.5,3,False,"Shopping"
category,sZ2vDfComr7Z8Gab74flWw,"Fast-Fix Jewelry Repairs","3680 S Maryland Pkwy Eastside Las Vegas, NV 89109",Las Vegas,NV,3.5,3,False,"Jewelry"
category,XQ8YhsAo2pKY6VTbw3d8mw,"Hoang Oanh Sandwich","1071 Boul Saint-Laurent Montreal, QC H2Z 1J6",Montreal,QC,3.0,9,True,"Sandwiches"
category,XQ8YhsAo2pKY6VTbw3d8mw,"Hoang Oanh Sandwich","1071 Boul Saint-Laurent Montreal, QC H2Z 1J6",Montreal,QC,3.0,9,True,"Restaurants"
category,IlR0RP40pqcg_9RTQEBbtQ,"Terrible Herbst","4090 S Maryland Pkwy Eastside Las Vegas, NV 89119",Las Vegas,NV,4.0,7,True,"Automotive"
category,IlR0RP40pqcg_9RTQEBbtQ,"Terrible Herbst","4090 S Maryland Pkwy Eastside Las Vegas, NV 89119",Las Vegas,NV,4.0,7,True,"Gas & Service Stations"
category,ExFAJB0sH2M4pCeH88U8Ag,"KOLO City Döner","Amalienstr. 51 76133 Karlsruhe",Karlsruhe,BW,4.5,5,True,"Turkish"
category,ExFAJB0sH2M4pCeH88U8Ag,"KOLO City Döner","Amalienstr. 51 76133 Karlsruhe",Karlsruhe,BW,4.5,5,True,"Pizza"
category,ExFAJB0sH2M4pCeH88U8Ag,"KOLO City Döner","Amalienstr. 51 76133 Karlsruhe",Karlsruhe,BW,4.5,5,True,"Kebab"
category,ExFAJB0sH2M4pCeH88U8Ag,"KOLO City Döner","Amalienstr. 51 76133 Karlsruhe",Karlsruhe,BW,4.5,5,True,"Restaurants"
category,AsCm9nAZ1miSNiZXnZla6w,"Sport Clips","1084 S Gilbert Road Gilbert, AZ 85296",Gilbert,AZ,3.5,11,True,"Barbers"
category,AsCm9nAZ1miSNiZXnZla6w,"Sport Clips","1084 S Gilbert Road Gilbert, AZ 85296",Gilbert,AZ,3.5,11,True,"Beauty & Spas"
category,cztrFy6_1g8vPzHEZVkIVQ,"LeSportsac Outlet","875 South Grand Central Parkway Downtown Las Vegas, NV 89106",Las Vegas,NV,4.5,17,True,"Fashion"
category,cztrFy6_1g8vPzHEZVkIVQ,"LeSportsac Outlet","875 South Grand Central Parkway Downtown Las Vegas, NV 89106",Las Vegas,NV,4.5,17,True,"Shopping"
category,cztrFy6_1g8vPzHEZVkIVQ,"LeSportsac Outlet","875 South Grand Central Parkway Downtown Las Vegas, NV 89106",Las Vegas,NV,4.5,17,True,"Accessories"
category,PidC4aGfB9sS0GYvGSykrA,"Bouncz Shoez Z-Coil","4581 W Flamingo Road Las Vegas, NV 89103",Las Vegas,NV,5.0,3,True,"Fashion"
category,PidC4aGfB9sS0GYvGSykrA,"Bouncz Shoez Z-Coil","4581 W Flamingo Road Las Vegas, NV 89103",Las Vegas,NV,5.0,3,True,"Shopping"
category,PidC4aGfB9sS0GYvGSykrA,"Bouncz Shoez Z-Coil","4581 W Flamingo Road Las Vegas, NV 89103",Las Vegas,NV,5.0,3,True,"Shoe Stores"
category,R0MhNwopWTWXcg8CPAFgpw,"The Cracked Egg","6435 S Rainbow Blvd Spring Valley Las Vegas, NV 89118",Las Vegas,NV,4.0,284,True,"Breakfast & Brunch"
category,R0MhNwopWTWXcg8CPAFgpw,"The Cracked Egg","6435 S Rainbow Blvd Spring Valley Las Vegas, NV 89118",Las Vegas,NV,4.0,284,True,"Restaurants"
category,RBmUv6UN0Fp1k8p0TlDEfg,"Desert Vista Dog Park","11800 N Desert Vista Fountain Hills, AZ 85268",Fountain Hills,AZ,5.0,6,True,"Active Life"
category,RBmUv6UN0Fp1k8p0TlDEfg,"Desert Vista Dog Park","11800 N Desert Vista Fountain Hills, AZ 85268",Fountain Hills,AZ,5.0,6,True,"Dog Parks"
category,RBmUv6UN0Fp1k8p0TlDEfg,"Desert Vista Dog Park","11800 N Desert Vista Fountain Hills, AZ 85268",Fountain Hills,AZ,5.0,6,True,"Parks"
category,tcSgN0K3KhgVSSmHOLSWjQ,"Cook On Wok Chinese Cuisine","390 N Stephanie Las Vegas, NV 89101",Las Vegas,NV,2.0,10,True,"Chinese"
category,tcSgN0K3KhgVSSmHOLSWjQ,"Cook On Wok Chinese Cuisine","390 N Stephanie Las Vegas, NV 89101",Las Vegas,NV,2.0,10,True,"Restaurants"
category,-nHYKkSJuQ7zzFZ1veRfPg,"Little Peking","10608 N 32nd St Phoenix, AZ 85028",Phoenix,AZ,4.0,35,True,"Chinese"
category,-nHYKkSJuQ7zzFZ1veRfPg,"Little Peking","10608 N 32nd St Phoenix, AZ 85028",Phoenix,AZ,4.0,35,True,"Restaurants"
category,ZZkubP-TCzbGuEOEzZno-A,"Quivey's Grove","6261 Nesbitt Rd Fitchburg, WI 53719",Fitchburg,WI,3.5,90,True,"American (New)"
category,ZZkubP-TCzbGuEOEzZno-A,"Quivey's Grove","6261 Nesbitt Rd Fitchburg, WI 53719",Fitchburg,WI,3.5,90,True,"Fish & Chips"
category,ZZkubP-TCzbGuEOEzZno-A,"Quivey's Grove","6261 Nesbitt Rd Fitchburg, WI 53719",Fitchburg,WI,3.5,90,True,"Restaurants"
category,onxuYPsxq6jU37jsIdjbfQ,"Costa Coffee","The Gyle Shopping Centre Unit 47 Edinburgh EH12 9JY",Edinburgh,EDH,4.0,4,True,"Food"
category,onxuYPsxq6jU37jsIdjbfQ,"Costa Coffee","The Gyle Shopping Centre Unit 47 Edinburgh EH12 9JY",Edinburgh,EDH,4.0,4,True,"Coffee & Tea"
category,RzVwAdOxT9JQkeoeBMYPoQ,"Sierra Gold","2400 N Buffalo Dr Suite #125 Summerlin Las Vegas, NV 89128",Las Vegas,NV,4.0,36,True,"Bars"
category,RzVwAdOxT9JQkeoeBMYPoQ,"Sierra Gold","2400 N Buffalo Dr Suite #125 Summerlin Las Vegas, NV 89128",Las Vegas,NV,4.0,36,True,"Pubs"
category,RzVwAdOxT9JQkeoeBMYPoQ,"Sierra Gold","2400 N Buffalo Dr Suite #125 Summerlin Las Vegas, NV 89128",Las Vegas,NV,4.0,36,True,"Nightlife"
category,RzVwAdOxT9JQkeoeBMYPoQ,"Sierra Gold","2400 N Buffalo Dr Suite #125 Summerlin Las Vegas, NV 89128",Las Vegas,NV,4.0,36,True,"American (New)"
category,RzVwAdOxT9JQkeoeBMYPoQ,"Sierra Gold","2400 N Buffalo Dr Suite #125 Summerlin Las Vegas, NV 89128",Las Vegas,NV,4.0,36,True,"Sports Bars"
category,RzVwAdOxT9JQkeoeBMYPoQ,"Sierra Gold","2400 N Buffalo Dr Suite #125 Summerlin Las Vegas, NV 89128",Las Vegas,NV,4.0,36,True,"Restaurants"
category,5plPt2gG-sLuaD0FlFT_nQ,"Storage One","9722 W Maule Ave Spring Valley Las Vegas, NV 89148",Las Vegas,NV,2.0,3,False,"Local Services"
category,5plPt2gG-sLuaD0FlFT_nQ,"Storage One","9722 W Maule Ave Spring Valley Las Vegas, NV 89148",Las Vegas,NV,2.0,3,False,"Self Storage"
category,yCp2iirB6Mb3sj1vnObWJw,"Jamaca Me Tan","1635 E Baseline Road Phoenix, AZ 85042",Phoenix,AZ,2.0,4,True,"Tanning"
category,yCp2iirB6Mb3sj1vnObWJw,"Jamaca Me Tan","1635 E Baseline Road Phoenix, AZ 85042",Phoenix,AZ,2.0,4,True,"Beauty & Spas"
category,204_6ZlNOdPEYzSzZtoG4Q,"Golden Feet Reflexology","1720 E Warner Rd Ste 8 Tempe, AZ 85284",Tempe,AZ,4.5,23,True,"Reflexology"
category,204_6ZlNOdPEYzSzZtoG4Q,"Golden Feet Reflexology","1720 E Warner Rd Ste 8 Tempe, AZ 85284",Tempe,AZ,4.5,23,True,"Health & Medical"
category,204_6ZlNOdPEYzSzZtoG4Q,"Golden Feet Reflexology","1720 E Warner Rd Ste 8 Tempe, AZ 85284",Tempe,AZ,4.5,23,True,"Massage"
category,204_6ZlNOdPEYzSzZtoG4Q,"Golden Feet Reflexology","1720 E Warner Rd Ste 8 Tempe, AZ 85284",Tempe,AZ,4.5,23,True,"Beauty & Spas"
category,oajNY_oTIMb7YZsor7Xonw,"Peoria Sports Complex","16101 N 83rd Ave Peoria, AZ 85382",Peoria,AZ,4.5,70,True,"Active Life"
category,oajNY_oTIMb7YZsor7Xonw,"Peoria Sports Complex","16101 N 83rd Ave Peoria, AZ 85382",Peoria,AZ,4.5,70,True,"Venues & Event Spaces"
category,oajNY_oTIMb7YZsor7Xonw,"Peoria Sports Complex","16101 N 83rd Ave Peoria, AZ 85382",Peoria,AZ,4.5,70,True,"Amateur Sports Teams"
category,oajNY_oTIMb7YZsor7Xonw,"Peoria Sports Complex","16101 N 83rd Ave Peoria, AZ 85382",Peoria,AZ,4.5,70,True,"Event Planning & Services"
category,icDyD_-bONBSgWlIUfuFZQ,"RLifestyle","670 S Whitney Way Madison, WI 53711",Madison,WI,4.5,4,True,"Shopping"
category,icDyD_-bONBSgWlIUfuFZQ,"RLifestyle","670 S Whitney Way Madison, WI 53711",Madison,WI,4.5,4,True,"Home & Garden"
category,icDyD_-bONBSgWlIUfuFZQ,"RLifestyle","670 S Whitney Way Madison, WI 53711",Madison,WI,4.5,4,True,"Furniture Stores"
category,Z2RQzHPp_mJhrJgVJm8dbw,"Nobby's Pizza","373 Vanadium Rd Pittsburgh, PA 15243",Pittsburgh,PA,2.5,6,True,"Pizza"
category,Z2RQzHPp_mJhrJgVJm8dbw,"Nobby's Pizza","373 Vanadium Rd Pittsburgh, PA 15243",Pittsburgh,PA,2.5,6,True,"Restaurants"
category,aVz1kJjZWl8UWWtPzO9JwA,"Double Nickels Collective","45 W Southern Ave Tempe, AZ 85282",Tempe,AZ,5.0,4,True,"Fashion"
category,aVz1kJjZWl8UWWtPzO9JwA,"Double Nickels Collective","45 W Southern Ave Tempe, AZ 85282",Tempe,AZ,5.0,4,True,"Shopping"
category,aVz1kJjZWl8UWWtPzO9JwA,"Double Nickels Collective","45 W Southern Ave Tempe, AZ 85282",Tempe,AZ,5.0,4,True,"Books, Mags, Music & Video"
category,aVz1kJjZWl8UWWtPzO9JwA,"Double Nickels Collective","45 W Southern Ave Tempe, AZ 85282",Tempe,AZ,5.0,4,True,"Music & DVDs"
category,aVz1kJjZWl8UWWtPzO9JwA,"Double Nickels Collective","45 W Southern Ave Tempe, AZ 85282",Tempe,AZ,5.0,4,True,"Used, Vintage & Consignment"
category,aVz1kJjZWl8UWWtPzO9JwA,"Double Nickels Collective","45 W Southern Ave Tempe, AZ 85282",Tempe,AZ,5.0,4,True,"Comic Books"
category,yzxtZPRkgUuXdYxwVUOQuw,"Sports Authority","12869 North Tatum Blvd Phoenix, AZ 85032",Phoenix,AZ,3.0,7,True,"Sporting Goods"
category,yzxtZPRkgUuXdYxwVUOQuw,"Sports Authority","12869 North Tatum Blvd Phoenix, AZ 85032",Phoenix,AZ,3.0,7,True,"Shopping"
category,hxkCasKFYQfujV3yPoxEFg,"Papas","3547, boulevard Saint-Laurent Montréal, QC H2X 2T6",Montréal,QC,3.0,6,True,"Portuguese"
category,hxkCasKFYQfujV3yPoxEFg,"Papas","3547, boulevard Saint-Laurent Montréal, QC H2X 2T6",Montréal,QC,3.0,6,True,"Restaurants"
category,v9_MNjWori0tLWErWP7y2g,"Bomboba","7521 W Cactus Rd Ste 101 Peoria, AZ 85345",Peoria,AZ,4.0,100,True,"Food"
category,v9_MNjWori0tLWErWP7y2g,"Bomboba","7521 W Cactus Rd Ste 101 Peoria, AZ 85345",Peoria,AZ,4.0,100,True,"Bubble Tea"
category,v9_MNjWori0tLWErWP7y2g,"Bomboba","7521 W Cactus Rd Ste 101 Peoria, AZ 85345",Peoria,AZ,4.0,100,True,"Juice Bars & Smoothies"
category,v9_MNjWori0tLWErWP7y2g,"Bomboba","7521 W Cactus Rd Ste 101 Peoria, AZ 85345",Peoria,AZ,4.0,100,True,"Ice Cream & Frozen Yogurt"
category,REhZa844QHi0QrOnwiz-XA,"Hallmark Showcase","1445 W Sunset Rd Ste 5 Henderson, NV 89014",Henderson,NV,5.0,5,True,"Cards & Stationery"
category,REhZa844QHi0QrOnwiz-XA,"Hallmark Showcase","1445 W Sunset Rd Ste 5 Henderson, NV 89014",Henderson,NV,5.0,5,True,"Arts & Crafts"
