record_type,business_id,name,city,state,latitude,longitude,neighborhood
location,N8kcP57ft4V3Cj86j2iutA,"Jimmy John's","Charlotte",NC,35.340946,-80.769942,"Highland Creek"
location,73hgz8PLt4AKRhY3ATMSow,"GNC","Las Vegas",NV,36.063425,-115.250936,"Spring Valley"
location,TgR8Xl6Bt4uo2imHRixb7w,"Las Vegas Motor Coach Resort","Las Vegas",NV,36.0412089,-115.2011125,"Southwest"
location,CjoQGC3nbmkMQYXXgoxuJg,"Great Clips","Las Vegas",NV,36.2644807,-115.2573056,"Northwest"
location,CjoQGC3nbmkMQYXXgoxuJg,"Great Clips","Las Vegas",NV,36.2644807,-115.2573056,"Centennial"
location,NfheNBs_UbGN1r25Ehdl_Q,"Quaker Steak and Lube","Pittsburgh",PA,40.4406261,-79.958036,"Oakland"
location,tiRAJD_jSijdk7QNTRn4oA,"Animal Advocates Resale Store","Pittsburgh",PA,40.4405692,-80.0344571,"West End"
location,pFh5W8euJOsU0dBYPoEN-Q,"Red Hot Pittsburgh","Pittsburgh",PA,40.4400604,-79.9962772,"Downtown"
location,YWkRe6CCQKQJgIRrG1fpvw,"Haagen Dazs","Las Vegas",NV,36.147371,-115.155365,"The Strip"
location,m63dw-yJM3Q9B4CCPqo3OA,"Banfield Pet Hospital","Las Vegas",NV,36.1613534,-115.0623247,"Sunrise"
location,aybLDQRhUwOr7WoQfdofPQ,"Rare Steakhouse","Madison",WI,43.0752003,-89.3858351,"Capitol"
location,o2lSpk7qafaiY1brDw8J6A,"The World's End","Edinburgh",EDH,55.9505449,-3.184413,"Newington"
location,o2lSpk7qafaiY1brDw8J6A,"The World's End","Edinburgh",EDH,55.9505449,-3.184413,"Old Town"
location,o2lSpk7qafaiY1brDw8J6A,"The World's End","Edinburgh",EDH,55.9505449,-3.184413,"Royal Mile"
location,MBVSYp6Blsr1gMVplr7Tyw,"Urgent Dental","Las Vegas",NV,36.042876,-115.1521075,"Southeast"
location,pDBw8tWTDrw97uSpcJTwKA,"OTM Fight Shop","Las Vegas",NV,36.125948,-115.189491,"Chinatown"
location,24t1XrFKY0ldSD1hOKnTew,"Love Yogurt","Pittsburgh",PA,40.428181,-79.975218,"South Side"
location,R8AgqxryV5iLk45lvIPozQ,"Qdoba Mexican Grill","Pittsburgh",PA,40.4413066,-79.957174,"Oakland"
location,dq5kEswncZfz1WdruJqxGA,"Muncheeze","Las Vegas",NV,36.128561,-115.1711298,"The Strip"
location,lfmvmL6iHq9-IDABLeNsuw,"Rose. Rabbit. Lie.","Las Vegas",NV,36.110091,-115.173908,"The Strip"
location,aUb1ulqB4B1y6kQuqRV3cg,"Szechuan Express","Pittsburgh",PA,40.4417932,-79.9571431,"Oakland"
location,voAc-3igpweL8CdHjY9xtg,"Aria Lobby Bar","Las Vegas",NV,36.1070202049,-115.176686682,"The Strip"
location,vOhmb9U7akdVrJ0pOHonjQ,"Kung Fu Tea","Edinburgh",EDH,55.9459607,-3.2211643,"West End"
location,vOhmb9U7akdVrJ0pOHonjQ,"Kung Fu Tea","Edinburgh",EDH,55.9459607,-3.2211643,"Haymarket"
location,adWsxv0LhUzD_NeEjXMwiA,"Pt's Pub","Las Vegas",NV,36.1440741,-115.1476521,"Downtown"
location,2uHqDtzydFsSegyG2A29vQ,"Nicolle Aileen Salon","Las Vegas",NV,36.1578071,-115.2889014,"Westside"
location,evUT81j1hZTA8ZNNlclqxw,"Ben & Jerry's","Pittsburgh",PA,40.4441430405,-79.9967479999,"Downtown"
location,oAI6lSMKTZ-07xCRAGAx7A,"Ballantyne BP","Charlotte",NC,35.054544,-80.845812,"Ballantyne"
location,h5JKXSaonX_uxPutVp7ilQ,"V Refine Nails","Charlotte",NC,35.055335,-80.851605,"Ballantyne"
location,58G5uy89YPe7sIJa7Ze99g,"Budget Car Rental","Las Vegas",NV,36.0600413,-115.1643417,"Southeast"
location,xD8Q42kqjsxiUcs_trdLgg,"Lombardi's Romagna Mia","Las Vegas",NV,36.109623,-115.172608,"The Strip"
location,3Xm05EdEZauZjMbChDLkVA,"Great Clips","Charlotte",NC,35.0980096,-80.7783615,"Arboretum"
location,MPslQ3IxFCvJ157BXuwXGA,"Cafe Bleu","Edinburgh",EDH,55.9463954,-3.1998173,"Grassmarket"
location,MPslQ3IxFCvJ157BXuwXGA,"Cafe Bleu","Edinburgh",EDH,55.9463954,-3.1998173,"Old Town"
location,j1OM9HNEYW-8xEj8fJBC2A,"Encore Theater","Las Vegas",NV,36.1272362926,-115.168272592,"The Strip"
location,iu-GLKS8OOE6jY1Zmf4x4Q,"Dennys","Las Vegas",NV,36.1005923,-115.295766,"Spring Valley"
location,c_5sioDSDof_hshp4_K1SA,"Toscana","Charlotte",NC,35.156338,-80.831878,"South Park"
location,HcEEkP1kHBD0dF4ENr1I5A,"No Grease","Charlotte",NC,35.2250606,-80.8393335,"First Ward"
location,VQqf2v_3lN963D-OMF9Z8A,"Buggy Wash Car Wash","Las Vegas",NV,36.0573222,-115.123979,"Southeast"
location,OV00NowsyFbXMCGtzErRVA,"Griffin Brothers Tires Wheels & Auto Repair","Charlotte",NC,35.3708655526,-80.782916472,"Highland Creek"
location,Fu-go3CYzjHkKpWGSnXGYg,"Guru Nanak Gurdwara - Sikh Temple","Las Vegas",NV,36.085285,-115.075677,"Southeast"
location,KWJiOihr3-gUqBkWsfd5hQ,"City Cabs","Edinburgh",EDH,55.9477565502,-3.21354705742,"West End"
location,VK14sEdfXy9nsjm5ZSiigg,"Canyon Gate Cleaners","Las Vegas",NV,36.1436234,-115.2687233,"Westside"
location,obLB1u1MGHjR4awGznGAcg,"The Lily Pad","Edinburgh",EDH,55.9379334,-3.1919792,"Marchmont"
location,9ylfrWjdX6CltGs_Qcv7Ng,"PNC Park","Pittsburgh",PA,40.4473866703,-80.0053249566,"North Side"
location,NHkk76ARCFXG0OE4eXFFPA,"Color Me Mine","Pittsburgh",PA,40.4381388,-79.919839,"Squirrel Hill"
location,QRzZCHSuLe0nDdPrZ-y3cQ,"Quest Diagnostics","Las Vegas",NV,36.1427162,-115.1370375,"Eastside"
location,mHC8ZtX4V_0X9DIiG-Mqew,"The EpiCentre","Charlotte",NC,35.225378,-80.841961,"Uptown"
location,XSZWx1J46ksSSQ_x-YVXhg,"Cafelatte","Las Vegas",NV,36.173981,-115.148563,"Downtown"
location,rExmZxKkcO0VfOVMo-w66g,"Fiesta Filipina","Las Vegas",NV,36.1286223,-115.2247746,"Westside"
location,cZl7-Um4HiJWFgDVmMan2Q,"Giant Eagle","Pittsburgh",PA,40.4509987,-80.0009426,"North Side"
location,sB-Mo3bBzqUEfm7O1xV_KA,"Subba","Pittsburgh",PA,40.4533604702,-80.0022396337,"North Side"
location,DJ_q4ZRKEIUdt1u9wypCeA,"Southside Dog Park","Pittsburgh",PA,40.4322186987,-79.9770107497,"South Side"
location,hlf1xR9RKuqCsZ7k28FIGw,"Olivia Newton-John: Summer Nights","Las Vegas",NV,36.124423,-115.146372,"Eastside"
location,2lV9R06GQeu50sWLSslFmQ,"Firestone Complete Auto Care","Las Vegas",NV,36.1448112783,-115.064785325,"Sunrise"
location,vXVWLKBaWZtcs8c4gpp2rA,"Ted Wiens Tire & Auto","Las Vegas",NV,36.039711,-115.198017,"Southwest"
location,-RWF1l9kbp2woe3xoQYeVA,"Jimmy John's","Las Vegas",NV,36.135529,-115.278454,"Westside"
location,mwpwfnnp4V0vorwc8fL9-g,"Encore Lobby Bar","Las Vegas",NV,36.1275008,-115.1659163,"The Strip"
location,mJIjKI-ZvW9GapzG-KSGVA,"Zip-Dang","Madison",WI,43.0577429,-89.4283672,"Dudgeon-Monroe"
location,5gwk3RnooAftbzjjIsIkXQ,"Uptown Bar And Kitchen","Charlotte",NC,35.2164881,-80.8404216,"Uptown"
location,LXvueihSmsfvlCHkrz8gLw,"China Grill","Las Vegas",NV,36.092268294,-115.176436901,"The Strip"
location,JMFXIUCtWDe5uZnR2lxghw,"Tower Suite Bar","Las Vegas",NV,36.1268103,-115.1659216,"The Strip"
location,TvLh1fGA_eN7z3-UIPFDXw,"Fuel Pizza Cafe","Charlotte",NC,35.2206115,-80.8133301,"Plaza Midwood"
location,vejqhkjMGrHewvniyk6_9g,"Chefs Fitness Kitchen","Las Vegas",NV,36.0820518,-115.2432648,"Spring Valley"
location,eIsFehDQbFkJF6DmwBjvrg,"32 Degrees","Las Vegas",NV,36.124423,-115.146372,"Eastside"
location,7lWwD-zEVh66Ryb8yxgVag,"The Property Group","Las Vegas",NV,36.1298072,-115.0948696,"Eastside"
location,oAGtsQawOePatKmwu6isqw,"Ryland Homes","Las Vegas",NV,36.083781,-115.286069,"Spring Valley"
location,2aEM6Ae3rPQFPLw2lnp8Uw,"The Raconteur","Edinburgh",EDH,55.9579087,-3.2127727,"Stockbridge"
location,Lmu8vPd4dZ6vmuK0Z8I--w,"UUBU 6","Pittsburgh",PA,40.4239733,-79.9782558,"South Side Slopes"
location,t-L8pjvnmd-fzeeHQXMcRg,"Red Rocks Cafe Bar & Bakery","Charlotte",NC,35.1565211263,-80.7946586609,"Sherwood Forest"
location,-68mO1Tk9kVdHsprHFnhnQ,"Le Central","Las Vegas",NV,36.124423,-115.146372,"Eastside"
location,ZLQBjv5aoWM6TjogHjSfVQ,"Big D Original Italian Subs","Las Vegas",NV,36.167682,-115.143516,"Downtown"
location,astOvbqncjj5N8lBon_9Ew,"Fringe Shop","Edinburgh",EDH,55.9497989,-3.1887087,"Newington"
location,astOvbqncjj5N8lBon_9Ew,"Fringe Shop","Edinburgh",EDH,55.9497989,-3.1887087,"Old Town"
location,astOvbqncjj5N8lBon_9Ew,"Fringe Shop","Edinburgh",EDH,55.9497989,-3.1887087,"Royal Mile"
location,AyJUb5QYNA3TpTIN5WwJQg,"Extended Stay America - Charlotte - University Place","Charlotte",NC,35.3003065,-80.7528106,"University City"
location,YpyXBJA8L1tmf7RKhtTD4Q,"Asda Leith","Edinburgh",EDH,55.9819413,-3.1901395,"Leith"
location,ZZtEx_UutNxz9B5knTL4tQ,"Mr. Chop Chop","Las Vegas",NV,36.0972977,-115.1013785,"Southeast"
location,c6ogkGnXHSk8IXbOjUu1zg,"Barbara Twarowska - King of Condos Inc.","Las Vegas",NV,36.1415001232,-115.142077085,"Eastside"
location,BhreDD-ye_2RWz0DhKn3cg,"S S Audio","Las Vegas",NV,36.1261585,-115.2125529,"Chinatown"
location,9CLZ-Uwv3nmOlbbGCIhvrQ,"Ocean One Bar and Grille","Las Vegas",NV,36.108854,-115.170512,"The Strip"
location,fZVZeZJkziJ7B1rIcmT3Iw,"Sierra Gold","Las Vegas",NV,36.0703887939,-115.224945068,"Spring Valley"
location,Vsgmw3fgOGoZ7FlNNgdZIw,"Division of Motor Vehicles","Charlotte",NC,35.3033808,-80.7508157,"University City"
location,H53CESnjnzilXu-VK3dgCA,"iFocus Vision Center","Las Vegas",NV,36.1158067,-115.2987479,"Spring Valley"
location,I9ej2N9lYsxQWay6EHLP2g,"Massage 702 Las Vegas","Las Vegas",NV,36.119402,-115.098702,"Eastside"
location,ZuIF3yNsKUx4WUCN7hlprg,"247-locksmith Las Vegas","Las Vegas",NV,36.0833352,-115.0999753,"Southeast"
location,7AEj6ZdpIie_G3ANgC3oLg,"Dirty Harry's","Pittsburgh",PA,40.4340465,-80.0065323,"South Side"
location,W8PNhwfo_4_dzw3JYCxYZw,"Jiffy Lube","North Las Vegas",NV,36.239175,-115.206744,"Northwest"
location,tFU2Js_nbIZOrnKfYJYBBg,"Bouchon Bistro","Las Vegas",NV,36.122293409,-115.170278879,"The Strip"
location,LCPso_j2icWvJI1bHN9uDQ,"Yellow Café","Edinburgh",EDH,55.9294257,-3.2096007,"Morningside"
location,woG0Ylj5C2NW3MyeumkcWg,"China Star","Pittsburgh",PA,40.422592,-79.928538,"Greenfield"
location,nqT92s6K0jWXfo9Y54_N6A,"Wet Lace Custom Design Swimwear & Apparel","Las Vegas",NV,36.144051,-115.198702,"Westside"
location,yRE7ejY68bYBYvDxp1zXMg,"Pizzalicious","Las Vegas",NV,36.0900715,-115.2439023,"Spring Valley"
location,cll90LXLWNpljIDQB8BeKA,"Ginza Korean & Japanese Restaurant","Pittsburgh",PA,40.4402643,-79.9563984,"Oakland"
location,pdznO7Z0gKfwkfC2F4S92w,"Muddy Cup Coffee House","Bellevue",PA,40.496038,-80.057175,"Bellevue"
location,AwaxCI7NMG3_nqCLqC4qWw,"The Pittsburgh Popcorn Company","Pittsburgh",PA,40.4515233,-79.9827624,"Strip District"
location,1ZCX18x3LgCNAH4H41QZ-Q,"Turf Grill","Henderson",NV,36.0184471,-115.0878208,"Anthem"
location,Hy50x819tuL9PmsGMVGHrw,"Jo Malone","Edinburgh",EDH,55.9528208,-3.2023565,"New Town"
location,vOW144upXNiFTIcTSbDMog,"Speedee Mart","Las Vegas",NV,36.1433276,-115.2970921,"The Lakes"
location,YiQFHnuN9jcZqHx5zEXAnw,"Magical Forest","Las Vegas",NV,36.1518705,-115.23193,"Westside"
location,v792Ffl5dnGm2PoM0t6yng,"The Village","Edinburgh",EDH,55.9741119,-3.1831933,"Leith"
location,yMqqf7wYgrOzZWWOAn0n4g,"The Strathie","Edinburgh",EDH,55.9638639,-3.1762586,"Leith"
location,UsEsD5X9dHIMAWDUPs_Utg,"Valvoline Instant Oil Change","Madison",WI,43.083657,-89.4764363,"Spring Harbor"
location,Y8ijuEjSTwnAJA3lIfAucg,"Allegro Hearth Bakery","Pittsburgh",PA,40.4338463,-79.9230629,"Squirrel Hill"
location,TaTc_Z0flqnjfmClYnHNdQ,"Greyhound Bus Lines","Pittsburgh",PA,40.445624,-79.994141,"Strip District"
location,x-rrXYLINcIRCBX-w7NqIA,"SuperPawn","Las Vegas",NV,36.1164875,-115.1410747,"Eastside"
location,W4BoaArUlx-QuI7MS1Mocw,"Optic Gallery","Las Vegas",NV,36.0819709,-115.119512,"Southeast"
location,j7JSuiBjM-uw3F9JUozN1w,"G Skin & Beauty Institute","Las Vegas",NV,36.114264,-115.115197,"Eastside"
location,2e2e7WgqU1BnpxmQL5jbfw,"Earl of Sandwich","Las Vegas",NV,36.110265993,-115.170553265,"The Strip"
location,r_m4VJ04IL2VAe37OgkgJw,"Savvy Eyes - Chrys A. Manos, OD","Las Vegas",NV,36.0429984,-115.1521306,"Southeast"
location,1Kcg-u0tDxHdyHIyEkMMqA,"Panther Hollow Inn","Pittsburgh",PA,40.444686,-79.948092,"Oakland"
location,vQ7s6H1LkgHPZfVc8XeWHw,"Tommy Bahama-Las Vegas Fashion Show","Las Vegas",NV,36.124423,-115.146372,"Eastside"
location,RCo2xqW-7PU-gu4yaiSI3Q,"Courthouse Tavern","Pittsburgh",PA,40.439886,-80.0004154,"Downtown"
location,XIwWVB082rJM6rLXmTPl3A,"Ticor Title At Tivoli Village","Las Vegas",NV,36.1672469254,-115.286364107,"Westside"
location,3Dd8dfQfRtV7RfLHFdG5_w,"Shaggy Chic","Las Vegas",NV,36.1685938,-115.2869305,"Westside"
location,DkxtbPK-I0ZaOzV-0VRpUw,"L & M Monogramming","Charlotte",NC,35.2105284,-80.856422,"South End"
location,DkxtbPK-I0ZaOzV-0VRpUw,"L & M Monogramming","Charlotte",NC,35.2105284,-80.856422,"Dilworth"
location,kDn-Lk5fmjc7dLYZUlkEeA,"Busy Buggy","Las Vegas",NV,36.1266122,-115.1927162,"Chinatown"
location,ZQZzgR51Yf2PlDpQrwHkOw,"John Cutter","Las Vegas",NV,36.159014,-115.351342,"Summerlin"
location,akUqBs7WYKYXw-_ui9C4fQ,"South Point Gift Shop And Liquor Store","Las Vegas",NV,36.0113116,-115.1747074,"Southeast"
location,c2lZc0G8CGKZMuogYlPYhQ,"Bojangles","Charlotte",NC,35.213747,-80.830426,"Myers Park"
location,79n4ERovIayh_AKwtV3UBg,"Leith Circle Gallery","Edinburgh",EDH,55.9684671,-3.1731473,"Leith"
location,qxdCVOUYTsxECIjug7JGow,"Paint Worx Inc.","Las Vegas",NV,36.229531,-115.241181,"Northwest"
location,IQlfqLp-15pSwaze5hGTbg,"HealthSouth Desert Canyon Rehabilitation Hospital","Las Vegas",NV,36.080447,-115.292371,"Spring Valley"
location,vegdbMOoB5x4LQuHaXxcyQ,"Lakefront Restaurant","Charlotte",NC,35.308833,-80.750761,"University City"
location,KlxZxJR_c06suleaDfxhYg,"Courtyard by Marriott","Las Vegas",NV,36.129981,-115.155087,"Eastside"
location,8DL_C5yvyV2DLD71VnGNEA,"Mama Said","Edinburgh",EDH,55.9505136,-3.1891149,"Old Town"
location,8DL_C5yvyV2DLD71VnGNEA,"Mama Said","Edinburgh",EDH,55.9505136,-3.1891149,"Royal Mile"
location,pQSkGB3HIunzNn_vIRWUNQ,"The Bagel Cafe","Las Vegas",NV,36.1759103,-115.260485,"Westside"
location,djGxMZwdSEsEU9dvkIkxtA,"Massage Envy Spa - Ballantyne","Charlotte",NC,35.0526069,-80.8514889,"Ballantyne"
location,0KAqZTv3ZLh2EoER5B2dvw,"Sainsbury's","Edinburgh",EDH,55.9459892,-3.2014409,"Old Town"
location,2UlWu9npMaKUlpBWxr_R0w,"Dairy Queen","Las Vegas",NV,36.0700375082,-115.298050379,"Spring Valley"
location,4ZejbYFFbrW6M6klK3L0jw,"iTech Customs","Las Vegas",NV,36.1507583,-115.205577,"Westside"
location,J011r7mUV1QhgLJ7GkrtMw,"Peppi's","Pittsburgh",PA,40.450237,-79.985665,"Strip District"
location,T6L0z62IxFZ6-zijPkXErg,"Ja-Makin-Me-Laugh","Las Vegas",NV,36.1693903,-115.1430844,"Downtown"
location,mEf9UaZFJDvog_0zd4y1MQ,"Prohibition Bar","Charlotte",NC,35.227933632,-80.8418688923,"First Ward"
location,bg0vJwDDWVLKe9jb4PzH6Q,"Elite Family Dental","Las Vegas",NV,36.0403616,-115.1361843,"Southeast"
location,jmegUHThTotdwyebhW2Eog,"Myers Park Tailors","Charlotte",NC,35.206776,-80.835051,"Myers Park"
location,zjQxaHZSb47p7l-b7Nhzgg,"Dairy Queen","Las Vegas",NV,36.0471607,-115.2433426,"Southwest"
location,jcI4ZPF3-hSUPsnoqRHO4w,"World of Coca-Cola","Las Vegas",NV,36.103712,-115.1726248,"The Strip"
location,_gPmBXNTJqI5tGhe7G_BKg,"Carl's Jr Restaurants","Las Vegas",NV,36.1262871,-115.2069397,"Chinatown"
location,F6snK84nyduvs2EHVu9WqQ,"Russell & Bromley","Edinburgh",EDH,55.951683,-3.2010497,"New Town"
location,L1OqlH9UzjBK0js4sKs9cQ,"Heroes Aren't Hard To Find","Charlotte",NC,35.212546,-80.817855,"Elizabeth"
location,YuPH4GmN2OGIHKvG9AQYRA,"Vanity Nightclub","Las Vegas",NV,36.1090109,-115.1538512,"Eastside"
location,7sNSXwZcZJ-ItpdEtzekDg,"American Apparel","Charlotte",NC,35.1546001,-80.8349133,"South Park"
location,z5DTHJ9UH2q12uRTaA45Sg,"Scribbler","Edinburgh",EDH,55.9521704,-3.198054,"New Town"
location,T57zVIOxqr20bdLS3dIp5Q,"Domino's Pizza","Henderson",NV,35.997344,-115.1020649,"Anthem"
location,-CAxtEWbiPIJlpbWq4qz2A,"Tower Pizzeria","Las Vegas",NV,36.1472468,-115.1560311,"The Strip"
location,9C5rKkDQsghpQKyBqPtKFw,"Ulta Three Cosmetics","Homestead",PA,40.4079041,-79.9154609,"Homestead"
location,U4BbM48f9xoEiS7a7ji9Yg,"Eyecandy","Las Vegas",NV,36.0918639,-115.1751614,"The Strip"
location,ow_d3WWNNKi389XGh1JPow,"Chevron","Las Vegas",NV,36.0422989,-115.1360032,"Southeast"
location,1DxER0wKF48vu44lrNrzcQ,"Bodyheat Tanning","Las Vegas",NV,36.1580626,-115.0462282,"Sunrise"
location,azyhZNRrV1BwIqxRhWqVaw,"Sleep Inn University Place","Charlotte",NC,35.304975,-80.751529,"University City"
location,gu5Yj92bnXnxNyMdxO14VA,"Casa Don Juan","Las Vegas",NV,36.157156,-115.1538305,"Downtown"
location,Fn5eocQntKgSQaZdcZn-HQ,"JJ Fish & Chicken","Madison",WI,43.1029481,-89.3446413,"Starkweather - Yahar"
location,E4IJHtD3dkBbOWVUkDL1xQ,"Our Lady of Las Vegas Catholic Church","Las Vegas",NV,36.1667212,-115.1828297,"Westside"
location,h4GmXUxM07MTOlMiGa0KuA,"The Maple Tree","Las Vegas",NV,36.1256634,-115.2234519,"Chinatown"
location,95sQlDylaJ21U6iEl_MEXQ,"Bangkok 9","Las Vegas",NV,36.2177628,-115.2423923,"Northwest"
location,D669LTmtNr13lnszmdkllg,"Taco Bell","Las Vegas",NV,36.1244924541,-115.279386338,"Spring Valley"
location,n-O-ZAWuFNcT3_saUNuijA,"Asian House","Madison",WI,43.0978191,-89.3173819,"Eastmorland"
location,p3IleNV_nLmMj-dbzdx9DQ,"Bai Ling Chinese Restaurant","Pittsburgh",PA,40.3850883,-79.9784211,"Carrick"
location,mrkySnXq8JXeSemVXV1GSg,"Hertz Rent A Car","Las Vegas",NV,36.0600895,-115.164163908,"Southeast"
location,P8ZD83wvyztYPHpW27xj6w,"Vintage Charlotte Summer Market","Charlotte",NC,35.2393659,-80.84569,"Third Ward"
location,CSSzipUBHYzxX74-qcPrTw,"Chris' Deli","Charlotte",NC,35.202137,-80.781657,"Eastland"
location,EYF0ARyWxZHM1PP7r4Jouw,"St. Rose Parkway Trail","Henderson",NV,35.9997749329,-115.123954773,"Southeast"
location,EYF0ARyWxZHM1PP7r4Jouw,"St. Rose Parkway Trail","Henderson",NV,35.9997749329,-115.123954773,"Anthem"
location,EhDKCRKvMPkPg9dXWgCzSg,"Verona","Charlotte",NC,35.2283649,-80.842652,"Fourth Ward"
location,doQQQzQis8Me3jGeAhfd5w,"Subway","Pittsburgh",PA,40.4264582,-79.9657795,"South Side"
location,6b0HjdqjaxwWbIhWBmSBzQ,"Clarion Hotel","Pittsburgh",PA,40.4377788125,-79.9923990787,"The Hill District"
location,T4_LFnGNke1yk3k2MJjiqA,"Salonika Imports","Pittsburgh",PA,40.4646453,-79.9675459,"Lawrenceville"
location,44LXMxCJo1tqmCpVq_cwbQ,"Benjarong Authentic Thai Cuisine","Las Vegas",NV,36.0533813,-115.2795528,"Southwest"
location,4l0HQdFVM8Kz3YKvr5vmBw,"Madison Avenue","Madison",WI,43.0733822,-89.3967743,"Capitol"
location,bxlI2VDy2MnAaPwn25YKcA,"Madison Gas & Electric","Madison",WI,43.0774763,-89.3773017,"Williamson - Marquette"
location,cE7UZqYygEL9kjZm0kbDpQ,"Hue Salon and Spa","Las Vegas",NV,36.1119567,-115.3066927,"Spring Valley"
location,BPmeW2bZBY4aQbu_E4Co8w,"Indaba Restaurant","Edinburgh",EDH,55.9430958515,-3.20405960083,"Tollcross"
location,BPmeW2bZBY4aQbu_E4Co8w,"Indaba Restaurant","Edinburgh",EDH,55.9430958515,-3.20405960083,"West End"
location,c-kXH01Sj8hHtIkZhxVXVA,"Anytime Fitness","Las Vegas",NV,36.0762132523,-115.298573127,"Spring Valley"
location,6Vnw9rDtTfWnEKNYigBnZw,"Salud Beer Shop","Charlotte",NC,35.2477994,-80.8040482,"NoDa"
location,I9kyu_01k2juleTL5nAdjA,"Auto Zone","Madison",WI,43.0338572,-89.4565691,"Allied Dunn's Marsh"
location,HhRmHumwjV4uNV-YQJuirQ,"Elemental Plumbing","Las Vegas",NV,36.123264,-115.217069,"Chinatown"
location,OAi1g2Go1MBjaR9m1fEHHA,"Leroy Fox","Charlotte",NC,35.1718223,-80.8071432,"Cotswold"
location,FoWv3iO6TuTBAxNbDjCJ6A,"Steel City Massage","Pittsburgh",PA,40.4884533947,-79.8988931865,"Aspinwall"
location,cfx6pyNJOyPGZ1su1WCI4A,"MyEyeDr.","Charlotte",NC,35.1479474,-80.9298497,"Steele Creek"
location,rXZ4ElYTXxkkTP3rnvD6KQ,"Earth Fare","Charlotte",NC,35.157113,-80.824607,"South Park"
location,nrmNmjiV0CZkH4P7VVF7Qg,"Red Rock Lanes","Las Vegas",NV,36.1574716191,-115.33536315,"South Summerlin"
location,7Inf7-FiFC6spGyGR4uQAg,"Beijing Chinese Cuisine","Charlotte",NC,35.2109839343,-80.8585596085,"South End"
location,7Inf7-FiFC6spGyGR4uQAg,"Beijing Chinese Cuisine","Charlotte",NC,35.2109839343,-80.8585596085,"Dilworth"
location,4CRQiALk3pSl5LEkKo3dmw,"PetSmart","Pittsburgh",PA,40.459739957,-79.9257194996,"Shadyside"
location,UWwzxtPKW8VxbBw04NrXmg,"Sterling Court Apartments","Las Vegas",NV,36.0886619,-115.0721371,"Southeast"
location,qyaHAokceoTnzYEwogZwMA,"Bank of America","Charlotte",NC,35.210276,-80.836392,"Myers Park"
location,AB7oEY5ACn0JUfD114hcow,"Neiman Marcus","Las Vegas",NV,36.1282516662,-115.173140913,"The Strip"
location,YGlvGSeDIueKw3RZOks8ag,"Oleksandra Spa & Salon","Las Vegas",NV,36.1231538,-115.1730752,"The Strip"
location,AhDXwtPvLGWu1hX-44Uv_Q,"Janet's Old Fashioned Shoe Shine Stand","Las Vegas",NV,36.1146954,-115.0998534,"Eastside"
