record_type,user_id,name,review_count,average_stars,registered_on,fans_count,elite_years_count
user,Dix2X50knqztuNdHiOXDMQ,"Tess",5,3.8,2011-04,0,0
user,Y_f7ppml9wLbDGP_EN3OCQ,"Bruce",15,2.27,2011-02,0,0
user,oratl7xW59gJlC2SrEnOSw,"Marc",10,3.29,2012-08,0,0
user,NzFQq4O7VWcpfYgKI-16MQ,"C. S.",1,1.0,2011-05,0,0
user,jAPNDLUvMkZ68gJU4s-Rcg,"Dave",4,5.0,2011-03,0,0
user,BcZAdSQQDJDSJe77MeUqAA,"Alyssa",3,4.67,2012-02,0,0
user,9X8QyzetflWC_YxLHtlThA,"Moe",25,2.96,2010-12,1,0
user,4gZbLClNlqXKkALIyKgXKA,"Michael",11,3.36,2009-12,1,0
user,KkDgTYG7NkPQ7RWj6L6xlA,"sam",4,5.0,2008-02,0,0
user,OxG-tdvCgjDbnOtrINqbmQ,"Will",9,3.78,2010-11,0,0
user,U3WRpYFHwBNLGPmZkmKWGA,"Beth",6,2.33,2013-03,1,0
user,TLnLi5U0T3AA3JTJiFz8jA,"Jesus",106,4.41,2009-10,4,0
user,H4QX9LyLjplcQGV3feuiLw,"Serena",1,4.0,2012-03,0,0
user,DVHVzs67khC_fPDWG1YJvA,"Kitty",4,2.0,2014-06,0,0
user,C1IHVBsXnA8A8W-7tyhgrw,"Jessee",7,2.29,2010-07,0,0
user,4qRz_FoKPwHNvPdESPa8xA,"Priscilla",162,3.49,2013-06,4,2
user,Pog5uNIIgxw8IUfgp448cQ,"Malissa",19,4.05,2012-04,1,0
user,mg41gv9X5F45MKTjPv5Gug,"Kathy",1,2.0,2012-12,0,0
user,ryCJTUvjknHtseI7y519jA,"Yunxia",1,5.0,2014-04,0,0
user,rEmIPqVWuKQoB27YKRTLWw,"Randy",199,3.84,2012-01,4,4
user,fIRFQ3cYna9UK3CwFmYKfw,"Jason",263,3.0,2008-08,2,5
user,WdABzvmbqnYnjZQq7xfwpA,"Luis",1,1.0,2010-03,0,0
user,0TtJc5wcPEvJyNJPlNP_TQ,"Joseph",5,2.2,2009-09,0,0
user,njig3qnNJQS0CyHKhbAsvQ,"Braun",17,3.88,2011-07,0,0
user,BqTkRSlL9IZX6soKJeyJmA,"Brett",25,3.0,2011-07,0,0
user,308XHhV54f8HX0JA3HLx4Q,"Kyle",11,4.55,2011-03,0,0
user,a5Tu7TMtht2zod-8CFd5oA,"Andrew",104,3.78,2009-05,8,0
user,agv6ipHo6pKdjgn5DoJMKw,"Robert",12,2.93,2012-03,0,0
user,FXJvXFCdrFLIgVW3Krz7SA,"H",3,4.0,2014-03,0,0
user,yFWqwQvyTzQTD9BqOdyuNw,"Stephanie",3,4.0,2011-01,1,0
user,tiB16GhmXmnD7Vr32vvm6g,"Hiromi",2,1.0,2014-12,0,0
user,CwjgtB8JgmIwKW4n6nM8ZA,"Erin",9,4.44,2011-08,0,0
user,5ziDkgdxceV2sSYSVMPtJw,"Brent",7,3.57,2014-04,0,0
user,SBSGk1GPglW8KrUWObuNUg,"Nicki",1,5.0,2014-03,0,0
user,PFHdQ-Up_uCkBTNQBGGNRw,"Paul",3,4.33,2014-01,0,0
user,tGBRNR0sw62l3Zk_BTgGbQ,"Francoise",1,5.0,2015-01,0,0
user,POReV3_TSO6iL3TsmR4wQg,"Cindy",5,5.0,2010-04,0,0
user,EX1lgywUB79qN2uGH-nKuA,"NDA",7,4.33,2011-02,0,0
user,3HtQL9LA6JPqDUmIfw0Bzw,"Shanell",6,3.67,2011-11,0,0
user,5HLK-BQKOQHYM1vEsc48-w,"Joe",6,2.83,2013-05,0,0
user,g3b2N_zqd3I0pmK2axlWzg,"Jasen",6,4.43,2013-04,1,0
user,d2JWb5loJ8BrggXJikKLpg,"t",123,3.43,2008-06,3,0
user,hzuPLuA3LpOMN981IF2d_Q,"David",2,3.0,2013-08,0,0
user,qlrLvjLFFWg5Y03wOAU7dg,"Jeanne",5,4.2,2014-05,0,0
user,PSMSlwWCvi5XqvlOBIscwg,"Andy",10,3.8,2013-02,0,0
user,VbwTN3cbwQKW0Uc1_zfWIg,"Melissa",7,3.0,2010-06,0,0
user,J_2iu0G51hEyMLlBtLrCgw,"Lani",60,4.05,2013-08,1,0
user,hHCs1Y5Z5gQaRyp7dRZc1Q,"BJ",1,1.0,2014-03,0,0
user,KPGAaq6IDsBk5uWqFi5eEA,"Julien",3,5.0,2012-10,1,0
user,uFmm0SagYjoSKqMwKFoWHA,"Kirstyn",1,5.0,2011-09,0,0
user,0QeTvYeA6x9ofMJhkI9DQw,"Kathleen",4,3.5,2013-01,0,0
user,ZsmWDuv9VvLewyj-v8BldQ,"Anonymous",12,3.91,2014-07,0,0
user,kvfBYo5SzyeotTvxOac9YQ,"Jon",22,4.27,2010-09,0,0
user,3yc5JeWwQVhjx22Lx6OQ0Q,"John",6,3.0,2007-05,1,0
user,hitUGWYrn8DZWkKo9y-vqA,"Leonard",3,5.0,2013-06,0,0
user,IWrHpRERnzZSF_f8GTAYcA,"Rachel",3,4.67,2014-08,0,0
user,Bp4jUH7cmpRRIPHUSqSAMg,"Adam",3,2.33,2011-03,0,0
user,3js7WQd_PnHqNOtcxEnbXQ,"Amit",3,4.33,2010-08,0,0
user,cgoX_o37gaOm2S0kMtqORQ,"Kasey",9,4.5,2012-03,0,0
user,GrBCuXatrBQ9k6sODMF_qQ,"Divine",3,2.33,2013-04,0,0
user,woQL6Al8Iutd7VcQ5Y9EVQ,"Johnny",4,4.0,2011-09,0,0
user,Dkaj-rzNMuv9kxsbYOi7NA,"Alexandra",107,3.39,2009-07,5,2
user,WciLWXESuI8QWfgcjbRWmw,"Robert",5,5.0,2011-01,0,0
user,eFnBybsO_n7vUBaCwJKRBw,"TJ",16,5.0,2008-04,0,0
user,SvFcgShKR6_BB_MPLv_krg,"David",10,3.44,2012-06,1,0
user,pzqS9qDW9oK6FbLDzbbchA,"Shari",12,3.92,2007-02,1,0
user,7AQVnUUfwPD_CKbJQXBktw,"Ann",4,2.25,2013-03,0,0
user,J__cljM4Ap1VGfyZvwc3rQ,"Don",6,4.5,2008-05,0,0
user,ukjs1KQMg3CenzKn9X0XDw,"George",92,3.28,2010-04,1,0
user,YGLtYCiaiJf4czHsPr_JIQ,"Coby",1,5.0,2012-03,1,0
user,o3gcepOoOBlzsKFudV019Q,"Traci",9,2.54,2013-01,0,0
user,JrWrw-hUOKPil_wgCk5Yhg,"Steven",19,3.05,2011-06,0,0
user,dvnk4Sq80OzhcIptr8MBIg,"LT",177,3.3,2011-09,2,0
user,F8Zrkrccc6RI1Dd3e8z0dw,"ray",8,4.5,2011-06,0,0
user,zfss3-uFf5hEp_-iLIrI4g,"Melissa",2,5.0,2013-01,0,0
user,LPfoWGML8jqpHLTTkdsIUQ,"Tia",33,4.0,2007-10,5,0
user,fDuc8LCiBOiLAPMkty7kiw,"Julie",4,3.25,2013-05,0,0
user,ysV8DGKNTTC0LSACW8Q_7g,"Kelsey",182,3.77,2007-09,7,4
user,wqo1d4FchsWkINFwcAnfCw,"Silvia",1,4.0,2014-10,0,0
user,jNY87M_83gIolkmHp5Psng,"Jamee",2,3.0,2011-07,0,0
user,QeKDIiECEI1fV4y-klrfBQ,"Jeffrey",14,3.57,2013-12,0,0
user,6bXk9bzWj-HbkWlmmkzQMw,"Kellan",1,1.0,2014-06,0,0
user,EJiXnx6G-Psedp-TYwJL0g,"Troy",49,4.3,2009-11,0,0
user,Z20m7tPG1UJbOOZEH-RLAw,"Mandy",9,4.33,2012-12,0,0
user,TmI_CR73j10KuwRoBNbCqQ,"Roget",1,1.0,2014-05,0,0
user,qIE7fYpjyuyr99gCV7234A,"Camille",8,4.0,2014-10,0,0
user,CKVWoi2onRNmRKnpigtP9Q,"Emily",10,3.8,2013-03,0,0
user,c2ABi-SStrUelgJ4nkq4eg,"Paul",2,1.0,2013-07,0,0
user,vBt_-Nzv1wEqD7CBvnJtLQ,"Christopher",4,3.75,2011-12,0,0
user,vTdEV7x1dPJQHQfhgBM6-g,"Cindy",87,3.59,2008-04,2,0
user,OT2twwuOmOOr-JT8oJ37Kg,"Brigitte",8,4.25,2010-05,1,0
user,4mwGAaTISGxOPgsXLgXsIA,"A. David",2,3.0,2012-10,0,0
user,XD5DuxFV6ptjGPzdG3wkQA,"James",3,1.33,2012-08,0,0
user,RK2EAMDV1sjTCfLRmuQDpg,"JG",6,5.0,2014-07,0,0
user,ZAjxrOJG2A69juW-Ld7FOg,"Natalie",3,2.33,2011-06,0,0
user,JOZJZvC6YvAac0_T27vyLg,"Moramay",2,2.0,2011-10,1,0
user,WQZv2et1BYLvEfJbxGDHNQ,"Gracie",28,4.38,2011-05,0,0
user,hI1xxcKXMpvEhAxyksFKKQ,"Shannon",3,2.33,2013-04,0,0
user,Il3g-iFSyxGx89ei7tRq0Q,"Ryan",41,3.78,2014-03,0,0
user,ARUrWyMYIUMkKYmzVtwD1w,"Sandy",44,4.48,2010-06,0,0
user,YwakZGB0A3fguAnD0o9oUg,"Elizabeth",13,3.54,2012-01,0,0
user,DwvqRmEMvzd0H4dwtybipw,"Rodrick",1,5.0,2011-09,0,0
user,Tv45F7WTcQ4B7TkfLHN4tg,"Susan",16,4.0,2012-03,0,0
user,3xGf_J1hW6VZ885jOWel4Q,"Kyle",3,4.33,2012-11,0,0
user,ewC0f7PwbptSESRRZWbFIw,"Charles",105,3.46,2009-03,5,0
user,PwANTxC5mSWGVeSvU1zbYg,"Heather",267,3.03,2009-07,12,6
user,0SoISZf3Y-Q7o-0rViKi_A,"Tara",2,5.0,2012-12,0,0
user,QZZIvPsbrnkTY0FcRfzJNw,"Sally",17,3.24,2010-08,0,0
user,tANT6Lg0ZNDuo_OTGAxUYw,"Danny",18,3.5,2011-12,0,0
user,P0OyIE-YyLs7YqzEq-376A,"Daniel",16,4.25,2010-11,0,0
user,mqPRd8QE9lkjr4cuyiMaOg,"Kristi",8,2.6,2011-03,1,0
user,w6Q3ejGQVsKjl96Q6ilfjw,"Sheli",7,4.71,2012-05,2,0
user,ad-49YvrSY0Q65G3H0l85Q,"Antonio",5,4.0,2009-08,0,0
user,xZnJiQFSW_DbdR62rGOH4g,"Lisa",1,4.0,2013-11,0,0
user,pXNfvafDj5kRxDd8iupyGA,"Michael",21,4.83,2012-10,2,0
user,_N17nwTFmdeycd4nIwSUgw,"Shelby",8,4.17,2013-09,0,0
user,pNYK40XhM1aYN4JpAkkgiQ,"Rachel",1,5.0,2014-08,0,0
user,aX6c5o5A033krh3bOv4Siw,"Matt",48,3.98,2009-08,1,0
user,wTaw7yjXeF2rvQkF3qfJ5A,"Adam",10,3.5,2012-09,0,0
user,8NDr7ZBFvp0rET6hJwDcaQ,"Ivan",5,4.2,2009-08,0,0
user,Cr4OZdE_jmtNkDEKB173KA,"Saranya",8,3.71,2010-12,0,0
user,fmXaqxZrajD0JOaDSF_g6g,"John",9,4.6,2008-12,0,0
user,sZd2m6Ylk0JJeV_O40r7Xg,"Ashley",2,5.0,2013-05,0,0
user,crMmp_4dsGkajZsBDisC0g,"Tom",11,4.25,2013-03,1,0
user,ZyknAM82cFvF8IVRBdDs0w,"Chalae",1,4.0,2012-10,0,0
user,D0zklGoCA5w0NIAyDj7yXw,"Joei",1,1.0,2011-11,0,0
user,xIxbeTRNxyxwfNkjWRlc-Q,"Scott",2,2.0,2011-09,0,0
user,XkIqG1uPZIuYIe1BQaBpKQ,"Jayne",9,2.38,2013-12,1,0
user,euFm9oe9Rt-cHO6602KhZQ,"Lisa",3,5.0,2014-12,0,0
user,ToyiljOX7ULVoCcQc5adEA,"Sarah",33,4.12,2011-11,0,0
user,c4nzad7b8Wrb16NYUlTMHQ,"Amanda",70,3.77,2008-04,1,0
user,Ax-SHHSCJttOpZ6jXdqPxQ,"Jae",96,4.38,2007-03,9,0
user,bge0eeplbO7eA_81PkBOzA,"Caitlin",211,4.17,2009-12,14,3
user,8DPNGCkUS0w28RDXtJ8bGQ,"Lawannah",2,5.0,2011-01,0,0
user,0Pm7SzZWAmoTihNenl1g5g,"Bryan",1,2.0,2012-03,0,0
user,Enz2ZUxS8CnaVrAE4Wu9dQ,"Theresa",3,3.67,2011-08,0,0
user,EFFoP6J89DrE7hatX3LwWg,"Jamie",8,4.75,2009-01,0,0
user,siF50enVzXW3Kzwaw32Xyw,"Vanessa",3,5.0,2011-01,0,0
user,fnbAwyZdBTEiXcIFTaaQ_w,"Kelly",5,3.0,2009-09,0,0
user,SaEzqTppL7Fg9rX_K58rSg,"Valerie",33,4.19,2008-06,2,0
user,eZ0_CXJf-CswHwWTASh4ww,"Brandy",4,3.0,2008-05,0,0
user,YFaq3PLiuXZtwxwDtMiOfA,"Maxine",410,3.44,2009-05,12,4
user,jPBW9x8th-yr-GbAcD32Ew,"Megan",5,4.0,2013-11,0,0
user,ZRAowE3P7RRcXukffqANuw,"K.",2,1.5,2013-12,0,0
user,79oaOp07l1K4mghC49j_xQ,"Cre",2,3.0,2012-09,0,0
user,1-qH6zaTCK69SHc6caXNyg,"Mike",2,5.0,2011-01,0,0
user,0s7RxaTQ1R5zRQkaDqEIyQ,"Ivan",8,5.0,2014-06,0,0
user,fakPZgUVF9-qoskDiga0Vw,"Rodney",14,3.0,2010-02,0,0
user,Oec1vMkFYWpRHBv3B0YkFw,"Chris",14,4.14,2011-02,0,0
user,k-p6rGyZLGXrz1aYNJ1idw,"Krystal",16,3.65,2011-10,0,0
user,nuIA9LYQo9lISkbmc143_A,"Amanda",4,3.67,2012-11,0,0
user,9Bh85xBs09oWkZ-oNcH1WA,"Bonnie",3,5.0,2011-11,0,0
user,99WAdA_4DtbmC97n7hKGog,"Sarah",2,3.0,2013-01,0,0
user,2L-2msAvQXHUa6gFMEykNQ,"Kevin",2,3.5,2014-09,0,0
user,itIW-VSTTaIV-IsK_JdZqA,"Ben",77,3.77,2012-04,2,1
user,d9baNYtd8CI0FBj_GTK_Gw,"Carolann",16,3.24,2012-11,0,0
user,T4q1XgLmcQTZhLH4Bzre4w,"Paul",2,5.0,2013-08,0,0
user,e3i2J-cBKJoP9Mth5uolhw,"Katie",33,3.53,2010-11,0,0
user,lW4t0CHzIojxT5vIKHauOQ,"C",33,3.0,2011-07,1,0
user,1UQZCaGtcz6Ki3-DtOG8cA,"Ken",10,5.0,2007-07,0,0
user,BSuwgXgHqB9TqiLa4lvMQA,"Jenny",75,3.56,2008-11,2,0
user,LTB9NWLhZEIZbsFhuUOjfA,"Linda",90,3.54,2009-01,0,0
user,2cBeJIf7DsPP4Jc-6PiASg,"Lezza",12,3.64,2012-03,0,0
user,LOjqEIZUWAVkkiGS0oiVYA,"AnNisa Designs",1,5.0,2011-08,0,0
user,0YGcuoIoaah3NcD9pltnxw,"Justin",9,4.0,2014-08,0,0
user,RGQ1ijtH-rVnNzaM53C0EQ,"annaliese",124,3.56,2008-06,29,0
user,jpYnlZdHMuVK1pUab0TftA,"Gina",3,3.0,2011-08,0,0
user,QeNX6XylOG8mdwMV1d2qLg,"Sally",6,2.33,2010-03,1,0
user,bsU6RoHmd8qi4CczWQVS1w,"Kelly",40,4.02,2010-12,0,0
user,GGbD7FWSTqCIhQOjIxXAMA,"Beverly",2,1.0,2013-10,0,0
user,11t_CO0PE5Fz2vIKGReQRQ,"Lori",13,3.54,2009-07,0,0
user,2q7qmxfVyo1SdEehDyRAWg,"Chris",3,3.67,2008-05,0,0
user,JKF2OPi-CgI14lnbpXpPDw,"Mark",2,5.0,2011-08,0,0
user,huKX5ixuxEUbVjC8aEOfsw,"John",6,3.0,2014-01,0,0
user,Vu9SJkC_SJAQB8jKPup4eA,"Marie",4,4.0,2014-04,0,0
user,JoR7gZAEEkGMqiqNac4OZg,"J.C.",9,4.78,2010-12,0,0
user,dC0szIiCaEWaL2Rj8OPvTw,"Brianna",1,1.0,2013-03,0,0
user,cp15Rd1wyWBtFditSxTa0g,"Jesse",1,1.0,2012-10,0,0
user,L_bYa7tav4v0kcKD1xuh0A,"Dennis",8,4.0,2010-01,0,0
user,qUIyE56oiCTN-Ncq8f8Tdw,"Lina",2,2.0,2012-08,0,0
user,zytGdAIrWngyWT_LTLYTZw,"Terry",14,2.86,2009-04,0,0
user,XRc-gYYp0F46PSOG0AZNrA,"Veronica",3,2.0,2007-11,0,0
user,P0aksFGjd3gKEQB5yckvLw,"Linda",21,3.77,2007-12,0,0
user,bivEb1NWuDjXOZAqI0mFpA,"Courtney",3,2.33,2010-08,1,0
user,DRnfwiaybpVbiXl4d9M8og,"Ellen",5,5.0,2010-07,0,0
user,_3swiYepBoXw49Ef1kSOPA,"Lisa",4,2.75,2014-08,0,0
user,-LvAzFRimmmSDNcOFOBdlA,"Daniel",4,2.33,2012-05,0,0
user,CTJehZXTE_90D3ixBlAPDw,"Erin",5,3.0,2011-01,0,0
user,6I5APOV4fIyB1z6pm_6TCg,"Chris",6,5.0,2013-08,0,0
user,8-1qBFR1CjYGdyZ_EKo1Uw,"Ronie",6,4.4,2013-10,0,0
user,i-Tsr1C0ZCHoPG5dgpx5QQ,"Tiffany",44,3.8,2011-03,0,0
user,kZgk12bNnb2rEsK6NCNJLg,"Adam",7,4.43,2012-07,0,0
user,02bHL82hFxlOtuJ4p2OqRA,"Camelia",18,4.89,2009-06,0,0
user,E_1yaiBUC6Xs6YiKVMrjig,"Renee",8,3.71,2014-05,0,0
user,-aZLa7IWVvBy_OAr3CLtcA,"Joann",2,1.0,2012-04,0,0
user,mk-YnK-jIHBUKtZk9y8ZiA,"Mary",5,5.0,2010-06,3,0
user,xTkNDbBMz5izqy582Si-VA,"Stephanie",1,5.0,2012-02,0,0
user,ic8P3NhggYAx2FReB93E_g,"Brooke",37,3.95,2012-04,0,0
user,FyTLwDxnyDyzstvDOIYebw,"n",1,3.0,2010-07,0,0
user,z-MbAA57Ag4cJEp6mgVReg,"Chris",44,3.4,2009-07,3,0
user,f2s1VrgJvkmGVqW5THambA,"Brian",1,3.0,2012-12,0,0
user,5roxyxOGNg7aAXdE0bhzFQ,"Jacob",2,4.5,2012-05,0,0
user,3LsG92Gxu7Q6-M77iGrK0w,"Peter",9,4.75,2010-12,0,0
user,JqdpJSLmoGfl4aMVTT3FJw,"Ash",2,2.0,2014-02,0,0
user,SCkg1fUjBVOze8wWlTGCog,"Erin",16,3.06,2009-03,2,0
user,kdc6Xadv0dF7UJXrEFAQpw,"Taylor",4,2.5,2013-02,1,0
user,s6uyQQ6_IQ6s8fq5yEQngw,"Bessie",2,5.0,2011-04,0,0
user,O3IylSoiA4eWzabCu9j-UA,"Mary",152,4.09,2007-11,7,3
user,WydfymGZvhGvXs-qRmDXbA,"Corie",76,3.16,2011-10,1,0
user,NJeerj2GdnK1vlQRQhR1ug,"John",4,3.67,2010-01,0,0
user,J3Yemf5Mkebofqe5o0OwVQ,"James",9,4.4,2012-09,0,0
user,2nmX0g_Fb2BfzEKXm1NTxw,"Kristi",15,3.93,2014-10,0,0
user,YBIUi3rHkTjJvu5uezHLhQ,"Lisa",11,3.45,2011-08,0,0
user,hyKTSmIBFrJYAFgthXsAqw,"Beatrice",5,3.5,2014-12,0,0
user,o1aTvj-UCi3jFgdx5W1dlQ,"Travis",3,2.67,2012-07,0,0
user,UM3Hgr_gDyKx0ISPqq4GVQ,"Rosemary",1,5.0,2014-11,0,0
user,yG2wmpbDyOI2W8fRu2OnjQ,"Maria",1,1.0,2012-01,0,0
user,-UOtC3uKrZUvShvMmwxwBQ,"Kenny",15,4.0,2008-03,1,0
user,yDbeTIc2HnUPQvqRn2z89g,"Anony",15,2.46,2012-01,1,0
user,sCTld1kRyidZqPwXUSQmaw,"Nathan",5,4.0,2013-06,0,0
user,ItXugWOc4F2NQHxZkwrUgQ,"David",4,4.25,2014-08,0,0
user,9rSQHvu1jYvZjLOPrFHo8g,"Chelsea",5,3.6,2013-04,0,0
user,eQ7XsqGePbis88J43E888Q,"jennifer",5,4.0,2010-08,0,0
user,wrmqM4udkhgfQVcqrwzV9A,"William",3,1.0,2008-07,0,0
user,eWGttuX90Im6RmUxqQtEGw,"Nadine",6,4.43,2010-12,1,0
user,IldNKx5L8unlcv3LBSs-_g,"Andrea",115,3.67,2009-02,3,0
user,RkDyvpWPq4Bkzrssa5RCiw,"Claudia",5,4.67,2010-09,0,0
user,Yg7gieiaccNCYnG8LmGaBQ,"Michelle",3,4.0,2014-05,0,0
user,h7TZ7DD1svskiIwOkiouOg,"Sandi",5,4.2,2013-11,0,0
user,BxTWTp3tUClYG-uXQ6fISg,"Joe",2,4.0,2008-01,0,0
user,cyue9PG7Dq9iWleYMVUQDw,"Jackie",9,4.11,2009-06,1,0
user,uyPZX9hARA26pbBNovp0bw,"Aya",23,4.13,2012-09,0,0
user,BH2SoUp_EBfzzTd7aU7zZw,"Cornelis",158,3.85,2012-09,5,0
user,0WW1EwoUcF1S3Q5-t3mPpA,"Sami",1,5.0,2012-07,0,0
user,098eqoRdtPocFBxs2Dg8YQ,"sandra",5,4.2,2011-03,0,0
user,k_TICSi_1wjvAvaVOQZH9Q,"fiordelisa",21,3.55,2008-12,0,0
user,1rpKzx80eera8BpIEzGs6w,"Melanie",8,3.14,2012-01,0,0
user,2N6DMLPj5ECpBoCGwZj-9g,"Ti",5,4.0,2014-07,0,0
user,tvAH2TQeFIfChxYkmS-lXA,"Switch",7,4.5,2014-01,0,0
user,QtBhzEqhe22TpW1MGd0hXw,"Seamus",171,3.62,2009-08,2,0
user,42su7lD8TYo8CRuRebIn0Q,"Liane",5,3.2,2012-09,0,0
user,uiruYfCoSlSrrTUXmdRbog,"Jeff",9,3.3,2014-06,0,0
user,-M6695zLA7IvbKy50QPDnw,"Jaros-siri",3,4.33,2012-08,0,0
user,TPWJIxCS8RZuFpz9yyEjyA,"Kim",88,3.57,2007-09,0,0
user,q2BvEV6Zmkaw4tUOtKxQKw,"Brian",1,2.0,2013-02,0,0
user,WgO_glYDaSq56mFciaEyFA,"Kelly Wallace",12,3.5,2010-08,2,0
user,Ahby66jqU8oiP2BDYfreTw,"K",5,3.6,2012-10,0,0
user,hbCGcvU3IdEzJyWA12-bLQ,"Justin",668,3.3,2009-02,22,5
user,tFzOh3y_U0fSDkHNNJ8OtQ,"Danielle",122,4.14,2010-08,4,3
user,yuX5G6phWGNSHMdgWwlGAw,"Ben",1,4.0,2012-08,0,0
user,uT4RG3b09OLnMtuBTeol4g,"Kevin",7,3.43,2010-06,0,0
user,N2dnw7usWMJIO3SRwOrayw,"Arjun",7,2.83,2012-09,0,0
user,Jxk2b5qg_q19sgRq5nncoQ,"Jim",4,3.5,2009-08,0,0
user,rdtPgaenpcV9LLwkvTbb0Q,"Corey",11,3.36,2009-11,1,0
user,XJWsKpIQkM01wtFqt1nKuw,"Jennifer",17,3.94,2010-07,1,0
user,MPLTFlXYF8QLpLClRmG0yQ,"Jessica",6,5.0,2011-11,4,0
user,pZMKTt3fKMfsOKRopKCWEQ,"Moni",18,3.61,2011-10,0,0
user,rewKFR8QWu0YJDCPy6oXww,"Erica",1,5.0,2011-05,0,0
user,cjJG4Ua0N-X_3C8muiyB-A,"Stella",24,2.83,2010-03,0,0
user,67eRWP4u8lUJZeUAwJDd4A,"Emmanuel",1,5.0,2012-07,0,0
user,fQbzJRS2dwso8Jps2_S_mg,"Joe",1,5.0,2013-02,0,0
user,ytM3kScH9auyJ35zn0OoSQ,"Rachel",13,3.8,2012-01,0,0
user,WEG09nd41TMc84Qt3r98Vg,"Brie",11,1.91,2012-05,0,0
user,NlIpFBVtplDIi-zHwyI5Lw,"Phil",60,3.81,2009-11,0,0
user,mRrghJj8zJ0Wwa34dF1hJg,"Kymberly",85,3.95,2012-09,1,0
user,sWtgrwzNvvkVL1DQ8j1Qng,"Christine",1,5.0,2014-03,0,0
user,nFhSAAz8ymKgc4tcqqcXuw,"Sean",10,3.4,2014-05,0,0
user,lMlcwL-GgWJlk9c8zxNAkw,"John",16,3.44,2008-10,2,0
user,fp80Gp8qPNPM8lE0tY7b9A,"Krista",2,3.0,2012-05,0,0
user,NHQb1P7aAYzSZPtq1TNj7g,"Cheri",5,3.6,2012-07,0,0
user,XVsCsOyDNf9mkYQ23VD-mw,"James",2,1.0,2013-10,0,0
user,Zsq11EQyNHQt1TC0GQQGIA,"Sandra",4,4.5,2014-01,0,0
user,U6X535FjrsIKJhSHv0pXXg,"Mark",4,3.75,2008-07,0,0
user,hjpHQgXmGZl6nkMn0oDJiA,"Sofia",1,5.0,2014-03,0,0
user,mbq2fhiO7vGOZ9ZDilXxBw,"Amanda",2,5.0,2008-01,0,0
user,uSQbfxoe-nL29fi_52m95A,"Chowhound",22,4.17,2011-09,0,0
