record_type,business_id,name,full_address,city,state,open,day,opens,closes
open-hours,4qHUHUYAu04kdlxMOgJdIA,"Stella's Coffee House & Lunch Grotto","1430 W Warner Rd Gilbert, AZ 85233",Gilbert,AZ,False,Tuesday,08:00,15:00
open-hours,4qHUHUYAu04kdlxMOgJdIA,"Stella's Coffee House & Lunch Grotto","1430 W Warner Rd Gilbert, AZ 85233",Gilbert,AZ,False,Friday,08:00,15:00
open-hours,4qHUHUYAu04kdlxMOgJdIA,"Stella's Coffee House & Lunch Grotto","1430 W Warner Rd Gilbert, AZ 85233",Gilbert,AZ,False,Wednesday,08:00,15:00
open-hours,4qHUHUYAu04kdlxMOgJdIA,"Stella's Coffee House & Lunch Grotto","1430 W Warner Rd Gilbert, AZ 85233",Gilbert,AZ,False,Thursday,08:00,15:00
open-hours,4qHUHUYAu04kdlxMOgJdIA,"Stella's Coffee House & Lunch Grotto","1430 W Warner Rd Gilbert, AZ 85233",Gilbert,AZ,False,Sunday,08:00,14:00
open-hours,4qHUHUYAu04kdlxMOgJdIA,"Stella's Coffee House & Lunch Grotto","1430 W Warner Rd Gilbert, AZ 85233",Gilbert,AZ,False,Saturday,08:00,14:00
open-hours,CkImMpjQrEOjyohxzPbqtw,"Hwy 55 Burgers Shakes & Fries","8451 Davis Lake Pkwy Ste B-1 Charlotte, NC 28269",Charlotte,NC,True,Monday,11:00,21:00
open-hours,CkImMpjQrEOjyohxzPbqtw,"Hwy 55 Burgers Shakes & Fries","8451 Davis Lake Pkwy Ste B-1 Charlotte, NC 28269",Charlotte,NC,True,Tuesday,11:00,21:00
open-hours,CkImMpjQrEOjyohxzPbqtw,"Hwy 55 Burgers Shakes & Fries","8451 Davis Lake Pkwy Ste B-1 Charlotte, NC 28269",Charlotte,NC,True,Friday,11:00,22:00
open-hours,CkImMpjQrEOjyohxzPbqtw,"Hwy 55 Burgers Shakes & Fries","8451 Davis Lake Pkwy Ste B-1 Charlotte, NC 28269",Charlotte,NC,True,Wednesday,11:00,21:00
open-hours,CkImMpjQrEOjyohxzPbqtw,"Hwy 55 Burgers Shakes & Fries","8451 Davis Lake Pkwy Ste B-1 Charlotte, NC 28269",Charlotte,NC,True,Thursday,11:00,21:00
open-hours,CkImMpjQrEOjyohxzPbqtw,"Hwy 55 Burgers Shakes & Fries","8451 Davis Lake Pkwy Ste B-1 Charlotte, NC 28269",Charlotte,NC,True,Sunday,11:00,21:00
open-hours,CkImMpjQrEOjyohxzPbqtw,"Hwy 55 Burgers Shakes & Fries","8451 Davis Lake Pkwy Ste B-1 Charlotte, NC 28269",Charlotte,NC,True,Saturday,11:00,22:00
open-hours,CkFFL2W3ChkOqHJj6GSk_g,"Lucky Cheng's Restaurant","Planet Hollywood, Miracle Mile, Krave 3663 S Las Vegas Blvd The Strip Las Vegas, NV 89109",Las Vegas,NV,True,Tuesday,17:00,20:00
open-hours,CkFFL2W3ChkOqHJj6GSk_g,"Lucky Cheng's Restaurant","Planet Hollywood, Miracle Mile, Krave 3663 S Las Vegas Blvd The Strip Las Vegas, NV 89109",Las Vegas,NV,True,Friday,17:00,20:00
open-hours,CkFFL2W3ChkOqHJj6GSk_g,"Lucky Cheng's Restaurant","Planet Hollywood, Miracle Mile, Krave 3663 S Las Vegas Blvd The Strip Las Vegas, NV 89109",Las Vegas,NV,True,Wednesday,17:00,20:00
open-hours,CkFFL2W3ChkOqHJj6GSk_g,"Lucky Cheng's Restaurant","Planet Hollywood, Miracle Mile, Krave 3663 S Las Vegas Blvd The Strip Las Vegas, NV 89109",Las Vegas,NV,True,Thursday,17:00,20:00
open-hours,CkFFL2W3ChkOqHJj6GSk_g,"Lucky Cheng's Restaurant","Planet Hollywood, Miracle Mile, Krave 3663 S Las Vegas Blvd The Strip Las Vegas, NV 89109",Las Vegas,NV,True,Sunday,17:00,20:00
open-hours,CkFFL2W3ChkOqHJj6GSk_g,"Lucky Cheng's Restaurant","Planet Hollywood, Miracle Mile, Krave 3663 S Las Vegas Blvd The Strip Las Vegas, NV 89109",Las Vegas,NV,True,Saturday,17:00,20:00
open-hours,UkG_OE3YRT1Q8lYavZRsTA,"Guitar Gallery","10243 N Scottsdale Rd Paradise Valley, AZ 85253",Paradise Valley,AZ,True,Monday,10:00,19:00
open-hours,UkG_OE3YRT1Q8lYavZRsTA,"Guitar Gallery","10243 N Scottsdale Rd Paradise Valley, AZ 85253",Paradise Valley,AZ,True,Tuesday,10:00,19:00
open-hours,UkG_OE3YRT1Q8lYavZRsTA,"Guitar Gallery","10243 N Scottsdale Rd Paradise Valley, AZ 85253",Paradise Valley,AZ,True,Friday,10:00,18:00
open-hours,UkG_OE3YRT1Q8lYavZRsTA,"Guitar Gallery","10243 N Scottsdale Rd Paradise Valley, AZ 85253",Paradise Valley,AZ,True,Wednesday,10:00,19:00
open-hours,UkG_OE3YRT1Q8lYavZRsTA,"Guitar Gallery","10243 N Scottsdale Rd Paradise Valley, AZ 85253",Paradise Valley,AZ,True,Thursday,10:00,19:00
open-hours,UkG_OE3YRT1Q8lYavZRsTA,"Guitar Gallery","10243 N Scottsdale Rd Paradise Valley, AZ 85253",Paradise Valley,AZ,True,Sunday,12:00,17:00
open-hours,UkG_OE3YRT1Q8lYavZRsTA,"Guitar Gallery","10243 N Scottsdale Rd Paradise Valley, AZ 85253",Paradise Valley,AZ,True,Saturday,10:00,18:00
open-hours,GQuUFerQlnyRoOGdA63EKA,"Omni Dermatology Corporation","4840 E Indian School Rd Ste 102 Phoenix, AZ 85018",Phoenix,AZ,True,Tuesday,07:00,17:00
open-hours,GQuUFerQlnyRoOGdA63EKA,"Omni Dermatology Corporation","4840 E Indian School Rd Ste 102 Phoenix, AZ 85018",Phoenix,AZ,True,Friday,08:00,17:00
open-hours,GQuUFerQlnyRoOGdA63EKA,"Omni Dermatology Corporation","4840 E Indian School Rd Ste 102 Phoenix, AZ 85018",Phoenix,AZ,True,Thursday,08:00,17:00
open-hours,GQuUFerQlnyRoOGdA63EKA,"Omni Dermatology Corporation","4840 E Indian School Rd Ste 102 Phoenix, AZ 85018",Phoenix,AZ,True,Monday,08:00,17:30
open-hours,GQuUFerQlnyRoOGdA63EKA,"Omni Dermatology Corporation","4840 E Indian School Rd Ste 102 Phoenix, AZ 85018",Phoenix,AZ,True,Wednesday,07:30,17:00
open-hours,D5zcXx5399TxpjHFxa4uaA,"Librairie Michel Fortin","3714 Saint-Denis Rue Montreal, QC H2X 3L7",Montreal,QC,True,Monday,09:00,18:00
open-hours,D5zcXx5399TxpjHFxa4uaA,"Librairie Michel Fortin","3714 Saint-Denis Rue Montreal, QC H2X 3L7",Montreal,QC,True,Tuesday,09:00,18:00
open-hours,D5zcXx5399TxpjHFxa4uaA,"Librairie Michel Fortin","3714 Saint-Denis Rue Montreal, QC H2X 3L7",Montreal,QC,True,Friday,09:00,21:00
open-hours,D5zcXx5399TxpjHFxa4uaA,"Librairie Michel Fortin","3714 Saint-Denis Rue Montreal, QC H2X 3L7",Montreal,QC,True,Wednesday,09:00,18:00
open-hours,D5zcXx5399TxpjHFxa4uaA,"Librairie Michel Fortin","3714 Saint-Denis Rue Montreal, QC H2X 3L7",Montreal,QC,True,Thursday,09:00,21:00
open-hours,D5zcXx5399TxpjHFxa4uaA,"Librairie Michel Fortin","3714 Saint-Denis Rue Montreal, QC H2X 3L7",Montreal,QC,True,Sunday,11:00,17:00
open-hours,D5zcXx5399TxpjHFxa4uaA,"Librairie Michel Fortin","3714 Saint-Denis Rue Montreal, QC H2X 3L7",Montreal,QC,True,Saturday,09:00,17:00
open-hours,zSd8ZTV6T5Pyf0mccgvJDg,"Rosati's Pizza","2040 S Alma School Rd Ste 1 Chandler, AZ 85248",Chandler,AZ,True,Monday,11:00,22:00
open-hours,zSd8ZTV6T5Pyf0mccgvJDg,"Rosati's Pizza","2040 S Alma School Rd Ste 1 Chandler, AZ 85248",Chandler,AZ,True,Tuesday,11:00,22:00
open-hours,zSd8ZTV6T5Pyf0mccgvJDg,"Rosati's Pizza","2040 S Alma School Rd Ste 1 Chandler, AZ 85248",Chandler,AZ,True,Friday,11:00,23:00
open-hours,zSd8ZTV6T5Pyf0mccgvJDg,"Rosati's Pizza","2040 S Alma School Rd Ste 1 Chandler, AZ 85248",Chandler,AZ,True,Wednesday,11:00,22:00
open-hours,zSd8ZTV6T5Pyf0mccgvJDg,"Rosati's Pizza","2040 S Alma School Rd Ste 1 Chandler, AZ 85248",Chandler,AZ,True,Thursday,11:00,22:00
open-hours,zSd8ZTV6T5Pyf0mccgvJDg,"Rosati's Pizza","2040 S Alma School Rd Ste 1 Chandler, AZ 85248",Chandler,AZ,True,Sunday,11:00,22:00
open-hours,zSd8ZTV6T5Pyf0mccgvJDg,"Rosati's Pizza","2040 S Alma School Rd Ste 1 Chandler, AZ 85248",Chandler,AZ,True,Saturday,11:00,23:00
open-hours,a2FM4GSmoCCUjHIOy7kc5Q,"Pizza Hut","642 E. Horizon Drive #130 Henderson, NV 89015",Henderson,NV,True,Monday,11:00,23:00
open-hours,a2FM4GSmoCCUjHIOy7kc5Q,"Pizza Hut","642 E. Horizon Drive #130 Henderson, NV 89015",Henderson,NV,True,Tuesday,11:00,23:00
open-hours,a2FM4GSmoCCUjHIOy7kc5Q,"Pizza Hut","642 E. Horizon Drive #130 Henderson, NV 89015",Henderson,NV,True,Friday,11:00,00:00
open-hours,a2FM4GSmoCCUjHIOy7kc5Q,"Pizza Hut","642 E. Horizon Drive #130 Henderson, NV 89015",Henderson,NV,True,Wednesday,11:00,23:00
open-hours,a2FM4GSmoCCUjHIOy7kc5Q,"Pizza Hut","642 E. Horizon Drive #130 Henderson, NV 89015",Henderson,NV,True,Thursday,11:00,23:00
open-hours,a2FM4GSmoCCUjHIOy7kc5Q,"Pizza Hut","642 E. Horizon Drive #130 Henderson, NV 89015",Henderson,NV,True,Sunday,10:00,23:00
open-hours,a2FM4GSmoCCUjHIOy7kc5Q,"Pizza Hut","642 E. Horizon Drive #130 Henderson, NV 89015",Henderson,NV,True,Saturday,10:00,00:00
open-hours,WUZxVr_CaRqEQgzvyeK5tw,"IKEA","2110 W Ikea Way Tempe, AZ 85281",Tempe,AZ,True,Monday,10:00,21:00
open-hours,WUZxVr_CaRqEQgzvyeK5tw,"IKEA","2110 W Ikea Way Tempe, AZ 85281",Tempe,AZ,True,Tuesday,10:00,21:00
open-hours,WUZxVr_CaRqEQgzvyeK5tw,"IKEA","2110 W Ikea Way Tempe, AZ 85281",Tempe,AZ,True,Friday,10:00,21:00
open-hours,WUZxVr_CaRqEQgzvyeK5tw,"IKEA","2110 W Ikea Way Tempe, AZ 85281",Tempe,AZ,True,Wednesday,10:00,21:00
open-hours,WUZxVr_CaRqEQgzvyeK5tw,"IKEA","2110 W Ikea Way Tempe, AZ 85281",Tempe,AZ,True,Thursday,10:00,21:00
open-hours,WUZxVr_CaRqEQgzvyeK5tw,"IKEA","2110 W Ikea Way Tempe, AZ 85281",Tempe,AZ,True,Sunday,10:00,19:00
open-hours,WUZxVr_CaRqEQgzvyeK5tw,"IKEA","2110 W Ikea Way Tempe, AZ 85281",Tempe,AZ,True,Saturday,10:00,21:00
open-hours,z47ia1JAnn6V6BSeH-pvfA,"Ichiban Ramen","1813, Sainte-Catherine Ouest Montréal, QC H3H 1M1",Montréal,QC,False,Monday,11:30,23:00
open-hours,z47ia1JAnn6V6BSeH-pvfA,"Ichiban Ramen","1813, Sainte-Catherine Ouest Montréal, QC H3H 1M1",Montréal,QC,False,Tuesday,11:30,23:00
open-hours,z47ia1JAnn6V6BSeH-pvfA,"Ichiban Ramen","1813, Sainte-Catherine Ouest Montréal, QC H3H 1M1",Montréal,QC,False,Friday,11:30,00:00
open-hours,z47ia1JAnn6V6BSeH-pvfA,"Ichiban Ramen","1813, Sainte-Catherine Ouest Montréal, QC H3H 1M1",Montréal,QC,False,Wednesday,11:30,23:00
open-hours,z47ia1JAnn6V6BSeH-pvfA,"Ichiban Ramen","1813, Sainte-Catherine Ouest Montréal, QC H3H 1M1",Montréal,QC,False,Thursday,11:30,23:00
open-hours,z47ia1JAnn6V6BSeH-pvfA,"Ichiban Ramen","1813, Sainte-Catherine Ouest Montréal, QC H3H 1M1",Montréal,QC,False,Sunday,12:00,23:30
open-hours,z47ia1JAnn6V6BSeH-pvfA,"Ichiban Ramen","1813, Sainte-Catherine Ouest Montréal, QC H3H 1M1",Montréal,QC,False,Saturday,12:00,00:00
open-hours,b8JjgOCy9Wc6-mrnnA70sg,"Magic Pest Control","700 N Golden Key St Ste A7 Gilbert, AZ 85233",Gilbert,AZ,True,Monday,06:00,18:00
open-hours,b8JjgOCy9Wc6-mrnnA70sg,"Magic Pest Control","700 N Golden Key St Ste A7 Gilbert, AZ 85233",Gilbert,AZ,True,Tuesday,06:00,18:00
open-hours,b8JjgOCy9Wc6-mrnnA70sg,"Magic Pest Control","700 N Golden Key St Ste A7 Gilbert, AZ 85233",Gilbert,AZ,True,Friday,06:00,18:00
open-hours,b8JjgOCy9Wc6-mrnnA70sg,"Magic Pest Control","700 N Golden Key St Ste A7 Gilbert, AZ 85233",Gilbert,AZ,True,Wednesday,06:00,18:00
open-hours,b8JjgOCy9Wc6-mrnnA70sg,"Magic Pest Control","700 N Golden Key St Ste A7 Gilbert, AZ 85233",Gilbert,AZ,True,Thursday,06:00,18:00
open-hours,b8JjgOCy9Wc6-mrnnA70sg,"Magic Pest Control","700 N Golden Key St Ste A7 Gilbert, AZ 85233",Gilbert,AZ,True,Saturday,06:00,15:00
open-hours,amluA1icyExbdh9UQtvZrA,"Fishers","1 Shore Leith Edinburgh EH6 6QW",Edinburgh,EDH,True,Monday,12:00,22:30
open-hours,amluA1icyExbdh9UQtvZrA,"Fishers","1 Shore Leith Edinburgh EH6 6QW",Edinburgh,EDH,True,Tuesday,12:00,22:30
open-hours,amluA1icyExbdh9UQtvZrA,"Fishers","1 Shore Leith Edinburgh EH6 6QW",Edinburgh,EDH,True,Friday,12:00,22:30
open-hours,amluA1icyExbdh9UQtvZrA,"Fishers","1 Shore Leith Edinburgh EH6 6QW",Edinburgh,EDH,True,Wednesday,12:00,22:30
open-hours,amluA1icyExbdh9UQtvZrA,"Fishers","1 Shore Leith Edinburgh EH6 6QW",Edinburgh,EDH,True,Thursday,12:00,22:30
open-hours,amluA1icyExbdh9UQtvZrA,"Fishers","1 Shore Leith Edinburgh EH6 6QW",Edinburgh,EDH,True,Sunday,12:30,22:30
open-hours,amluA1icyExbdh9UQtvZrA,"Fishers","1 Shore Leith Edinburgh EH6 6QW",Edinburgh,EDH,True,Saturday,12:00,22:30
open-hours,9_FV_-Z72yiWRTJa5VXzuA,"Cash For Gold of Las Vegas","8565 W Sahara Ave Ste 112a Westside Las Vegas, NV 89117",Las Vegas,NV,True,Monday,09:00,18:00
open-hours,9_FV_-Z72yiWRTJa5VXzuA,"Cash For Gold of Las Vegas","8565 W Sahara Ave Ste 112a Westside Las Vegas, NV 89117",Las Vegas,NV,True,Tuesday,09:00,18:00
open-hours,9_FV_-Z72yiWRTJa5VXzuA,"Cash For Gold of Las Vegas","8565 W Sahara Ave Ste 112a Westside Las Vegas, NV 89117",Las Vegas,NV,True,Friday,09:00,18:00
open-hours,9_FV_-Z72yiWRTJa5VXzuA,"Cash For Gold of Las Vegas","8565 W Sahara Ave Ste 112a Westside Las Vegas, NV 89117",Las Vegas,NV,True,Wednesday,09:00,18:00
open-hours,9_FV_-Z72yiWRTJa5VXzuA,"Cash For Gold of Las Vegas","8565 W Sahara Ave Ste 112a Westside Las Vegas, NV 89117",Las Vegas,NV,True,Thursday,09:00,18:00
open-hours,9_FV_-Z72yiWRTJa5VXzuA,"Cash For Gold of Las Vegas","8565 W Sahara Ave Ste 112a Westside Las Vegas, NV 89117",Las Vegas,NV,True,Saturday,09:00,18:00
open-hours,wn7GiuOQ_0VrPXNc1wVTDA,"Fatburger","2815 W Peoria Ave Space A-108 Phoenix, AZ 85029",Phoenix,AZ,False,Monday,10:30,21:00
open-hours,wn7GiuOQ_0VrPXNc1wVTDA,"Fatburger","2815 W Peoria Ave Space A-108 Phoenix, AZ 85029",Phoenix,AZ,False,Tuesday,10:30,21:00
open-hours,wn7GiuOQ_0VrPXNc1wVTDA,"Fatburger","2815 W Peoria Ave Space A-108 Phoenix, AZ 85029",Phoenix,AZ,False,Friday,10:30,22:00
open-hours,wn7GiuOQ_0VrPXNc1wVTDA,"Fatburger","2815 W Peoria Ave Space A-108 Phoenix, AZ 85029",Phoenix,AZ,False,Wednesday,10:30,21:00
open-hours,wn7GiuOQ_0VrPXNc1wVTDA,"Fatburger","2815 W Peoria Ave Space A-108 Phoenix, AZ 85029",Phoenix,AZ,False,Thursday,10:30,21:00
open-hours,wn7GiuOQ_0VrPXNc1wVTDA,"Fatburger","2815 W Peoria Ave Space A-108 Phoenix, AZ 85029",Phoenix,AZ,False,Sunday,10:30,20:00
open-hours,wn7GiuOQ_0VrPXNc1wVTDA,"Fatburger","2815 W Peoria Ave Space A-108 Phoenix, AZ 85029",Phoenix,AZ,False,Saturday,10:30,21:30
open-hours,YkgYT5kfaDSq9IgsGvmS3g,"Jalisco Cantina","3460 E Sunset Rd Ste D Southeast Las Vegas, NV 89120",Las Vegas,NV,True,Monday,00:00,00:00
open-hours,YkgYT5kfaDSq9IgsGvmS3g,"Jalisco Cantina","3460 E Sunset Rd Ste D Southeast Las Vegas, NV 89120",Las Vegas,NV,True,Tuesday,00:00,00:00
open-hours,YkgYT5kfaDSq9IgsGvmS3g,"Jalisco Cantina","3460 E Sunset Rd Ste D Southeast Las Vegas, NV 89120",Las Vegas,NV,True,Friday,00:00,00:00
open-hours,YkgYT5kfaDSq9IgsGvmS3g,"Jalisco Cantina","3460 E Sunset Rd Ste D Southeast Las Vegas, NV 89120",Las Vegas,NV,True,Wednesday,00:00,00:00
open-hours,YkgYT5kfaDSq9IgsGvmS3g,"Jalisco Cantina","3460 E Sunset Rd Ste D Southeast Las Vegas, NV 89120",Las Vegas,NV,True,Thursday,00:00,00:00
open-hours,YkgYT5kfaDSq9IgsGvmS3g,"Jalisco Cantina","3460 E Sunset Rd Ste D Southeast Las Vegas, NV 89120",Las Vegas,NV,True,Sunday,00:00,00:00
open-hours,YkgYT5kfaDSq9IgsGvmS3g,"Jalisco Cantina","3460 E Sunset Rd Ste D Southeast Las Vegas, NV 89120",Las Vegas,NV,True,Saturday,00:00,00:00
open-hours,K_l1UzNFe3DEo2D1XokkXw,"Garden of England Flowers","1219 E Glendale Ave Ste 6 Phoenix, AZ 85020",Phoenix,AZ,False,Monday,09:00,15:00
open-hours,K_l1UzNFe3DEo2D1XokkXw,"Garden of England Flowers","1219 E Glendale Ave Ste 6 Phoenix, AZ 85020",Phoenix,AZ,False,Tuesday,09:00,15:00
open-hours,K_l1UzNFe3DEo2D1XokkXw,"Garden of England Flowers","1219 E Glendale Ave Ste 6 Phoenix, AZ 85020",Phoenix,AZ,False,Friday,09:00,15:00
open-hours,K_l1UzNFe3DEo2D1XokkXw,"Garden of England Flowers","1219 E Glendale Ave Ste 6 Phoenix, AZ 85020",Phoenix,AZ,False,Wednesday,09:00,15:00
open-hours,K_l1UzNFe3DEo2D1XokkXw,"Garden of England Flowers","1219 E Glendale Ave Ste 6 Phoenix, AZ 85020",Phoenix,AZ,False,Thursday,09:00,15:00
open-hours,K_l1UzNFe3DEo2D1XokkXw,"Garden of England Flowers","1219 E Glendale Ave Ste 6 Phoenix, AZ 85020",Phoenix,AZ,False,Saturday,09:00,12:00
open-hours,ubyQZRkJAnAw1uYj-7zYLQ,"AMF Chandler Lanes","1900 N. Arizona Ave. Chandler, AZ 85224",Chandler,AZ,True,Monday,16:00,23:00
open-hours,ubyQZRkJAnAw1uYj-7zYLQ,"AMF Chandler Lanes","1900 N. Arizona Ave. Chandler, AZ 85224",Chandler,AZ,True,Tuesday,16:00,23:00
open-hours,ubyQZRkJAnAw1uYj-7zYLQ,"AMF Chandler Lanes","1900 N. Arizona Ave. Chandler, AZ 85224",Chandler,AZ,True,Friday,16:00,01:00
open-hours,ubyQZRkJAnAw1uYj-7zYLQ,"AMF Chandler Lanes","1900 N. Arizona Ave. Chandler, AZ 85224",Chandler,AZ,True,Wednesday,16:00,23:00
open-hours,ubyQZRkJAnAw1uYj-7zYLQ,"AMF Chandler Lanes","1900 N. Arizona Ave. Chandler, AZ 85224",Chandler,AZ,True,Thursday,16:00,23:00
open-hours,ubyQZRkJAnAw1uYj-7zYLQ,"AMF Chandler Lanes","1900 N. Arizona Ave. Chandler, AZ 85224",Chandler,AZ,True,Sunday,12:00,23:00
open-hours,ubyQZRkJAnAw1uYj-7zYLQ,"AMF Chandler Lanes","1900 N. Arizona Ave. Chandler, AZ 85224",Chandler,AZ,True,Saturday,09:00,01:00
open-hours,ExFAJB0sH2M4pCeH88U8Ag,"KOLO City Döner","Amalienstr. 51 76133 Karlsruhe",Karlsruhe,BW,True,Monday,11:00,23:00
open-hours,ExFAJB0sH2M4pCeH88U8Ag,"KOLO City Döner","Amalienstr. 51 76133 Karlsruhe",Karlsruhe,BW,True,Tuesday,11:00,23:00
open-hours,ExFAJB0sH2M4pCeH88U8Ag,"KOLO City Döner","Amalienstr. 51 76133 Karlsruhe",Karlsruhe,BW,True,Friday,11:00,05:00
open-hours,ExFAJB0sH2M4pCeH88U8Ag,"KOLO City Döner","Amalienstr. 51 76133 Karlsruhe",Karlsruhe,BW,True,Wednesday,11:00,23:00
