record_type,user_id,name,vote_type,count
user-vote,NR0fXhNjCbPtGKVcYE3ZZA,Sarah,cool,0
user-vote,P8--AodlkDIli1eQVeQkHA,Elizabeth,funny,11
user-vote,P8--AodlkDIli1eQVeQkHA,Elizabeth,useful,55
user-vote,P8--AodlkDIli1eQVeQkHA,Elizabeth,cool,22
user-vote,pUH4jgOmTNIdATc6eD8ShQ,Lawrence,funny,2
user-vote,pUH4jgOmTNIdATc6eD8ShQ,Lawrence,useful,14
user-vote,pUH4jgOmTNIdATc6eD8ShQ,Lawrence,cool,11
user-vote,CrobQS8vrbL9WscsILhNaQ,Kara,funny,501
user-vote,CrobQS8vrbL9WscsILhNaQ,Kara,useful,908
user-vote,CrobQS8vrbL9WscsILhNaQ,Kara,cool,570
user-vote,Q8OVXYU-e64zPRnGmLPAFA,Samantha,funny,1
user-vote,Q8OVXYU-e64zPRnGmLPAFA,Samantha,useful,1
user-vote,Q8OVXYU-e64zPRnGmLPAFA,Samantha,cool,0
user-vote,q-PTWMtatEy3akLtSz6RUQ,Dainen,funny,9
user-vote,q-PTWMtatEy3akLtSz6RUQ,Dainen,useful,51
user-vote,q-PTWMtatEy3akLtSz6RUQ,Dainen,cool,14
user-vote,z0AI22yvrz6KEXXrpqmQDQ,David,funny,3
user-vote,z0AI22yvrz6KEXXrpqmQDQ,David,useful,14
user-vote,z0AI22yvrz6KEXXrpqmQDQ,David,cool,2
user-vote,zBOHzXD4ptV9KH9znSjGFw,TTrraaccYY,funny,4
user-vote,zBOHzXD4ptV9KH9znSjGFw,TTrraaccYY,useful,37
user-vote,zBOHzXD4ptV9KH9znSjGFw,TTrraaccYY,cool,9
user-vote,XruCTfe0QWF6L6CfdMVQTA,Amy,funny,0
user-vote,XruCTfe0QWF6L6CfdMVQTA,Amy,useful,0
user-vote,XruCTfe0QWF6L6CfdMVQTA,Amy,cool,0
user-vote,HmK2CTp2hqg84UZAHQwRFQ,Shantel,funny,0
user-vote,HmK2CTp2hqg84UZAHQwRFQ,Shantel,useful,0
user-vote,HmK2CTp2hqg84UZAHQwRFQ,Shantel,cool,0
user-vote,2HtycTqPdaZNwSI-5yoP4w,Tina,funny,49
user-vote,2HtycTqPdaZNwSI-5yoP4w,Tina,useful,138
user-vote,2HtycTqPdaZNwSI-5yoP4w,Tina,cool,46
user-vote,cxp0BBYoJG4r6mo1m7wAgQ,Yen,funny,202
user-vote,cxp0BBYoJG4r6mo1m7wAgQ,Yen,useful,322
user-vote,cxp0BBYoJG4r6mo1m7wAgQ,Yen,cool,117
user-vote,6IfoDdijmdN_If5eSvMOjQ,Forest,funny,1
user-vote,6IfoDdijmdN_If5eSvMOjQ,Forest,useful,0
user-vote,6IfoDdijmdN_If5eSvMOjQ,Forest,cool,0
user-vote,aDvsKYxRwhOdfiDnjAwrfA,Adam,funny,2
user-vote,aDvsKYxRwhOdfiDnjAwrfA,Adam,useful,115
user-vote,aDvsKYxRwhOdfiDnjAwrfA,Adam,cool,4
user-vote,Z1MYSELFSHi3bUT_0JLuIg,Jodi,funny,9
user-vote,Z1MYSELFSHi3bUT_0JLuIg,Jodi,useful,22
user-vote,Z1MYSELFSHi3bUT_0JLuIg,Jodi,cool,6
user-vote,tJo_wI3dc6MQAEVAqM49mQ,Idealia,funny,0
user-vote,tJo_wI3dc6MQAEVAqM49mQ,Idealia,useful,2
user-vote,tJo_wI3dc6MQAEVAqM49mQ,Idealia,cool,0
user-vote,BhiRY4wv4j_5iIuP__Po3Q,Bill,funny,7
user-vote,BhiRY4wv4j_5iIuP__Po3Q,Bill,useful,11
user-vote,BhiRY4wv4j_5iIuP__Po3Q,Bill,cool,8
user-vote,PWhJbGiPIqB0E87Up1o66w,Jodi,funny,1
user-vote,PWhJbGiPIqB0E87Up1o66w,Jodi,useful,9
user-vote,PWhJbGiPIqB0E87Up1o66w,Jodi,cool,1
user-vote,8MP2Vg9LEcJKAIzhSlh_jA,Xochmar,funny,6
user-vote,8MP2Vg9LEcJKAIzhSlh_jA,Xochmar,useful,13
user-vote,8MP2Vg9LEcJKAIzhSlh_jA,Xochmar,cool,1
user-vote,YbzSry_mp6C54naR2WvvWA,Adriana,funny,1
user-vote,YbzSry_mp6C54naR2WvvWA,Adriana,useful,2
user-vote,YbzSry_mp6C54naR2WvvWA,Adriana,cool,1
user-vote,6Ltt4LYdKe6yFlnJEkHPVw,Todd,funny,13
user-vote,6Ltt4LYdKe6yFlnJEkHPVw,Todd,useful,105
user-vote,6Ltt4LYdKe6yFlnJEkHPVw,Todd,cool,34
user-vote,6CfB1MEvy7AQkP0Mpbsrjw,Olivia,funny,0
user-vote,6CfB1MEvy7AQkP0Mpbsrjw,Olivia,useful,7
user-vote,6CfB1MEvy7AQkP0Mpbsrjw,Olivia,cool,1
user-vote,QM1CBJVZro4twuKwdA2qng,Tammy,funny,9
user-vote,QM1CBJVZro4twuKwdA2qng,Tammy,useful,30
user-vote,QM1CBJVZro4twuKwdA2qng,Tammy,cool,12
user-vote,Dix2X50knqztuNdHiOXDMQ,Tess,funny,0
user-vote,Dix2X50knqztuNdHiOXDMQ,Tess,useful,4
user-vote,Dix2X50knqztuNdHiOXDMQ,Tess,cool,1
user-vote,Y_f7ppml9wLbDGP_EN3OCQ,Bruce,funny,4
user-vote,Y_f7ppml9wLbDGP_EN3OCQ,Bruce,useful,12
user-vote,Y_f7ppml9wLbDGP_EN3OCQ,Bruce,cool,1
user-vote,oratl7xW59gJlC2SrEnOSw,Marc,funny,0
user-vote,oratl7xW59gJlC2SrEnOSw,Marc,useful,11
user-vote,oratl7xW59gJlC2SrEnOSw,Marc,cool,1
user-vote,NzFQq4O7VWcpfYgKI-16MQ,C. S.,funny,2
user-vote,NzFQq4O7VWcpfYgKI-16MQ,C. S.,useful,1
user-vote,NzFQq4O7VWcpfYgKI-16MQ,C. S.,cool,0
user-vote,jAPNDLUvMkZ68gJU4s-Rcg,Dave,funny,0
user-vote,jAPNDLUvMkZ68gJU4s-Rcg,Dave,useful,2
user-vote,jAPNDLUvMkZ68gJU4s-Rcg,Dave,cool,3
user-vote,BcZAdSQQDJDSJe77MeUqAA,Alyssa,funny,0
user-vote,BcZAdSQQDJDSJe77MeUqAA,Alyssa,useful,1
user-vote,BcZAdSQQDJDSJe77MeUqAA,Alyssa,cool,0
user-vote,9X8QyzetflWC_YxLHtlThA,Moe,funny,1
user-vote,9X8QyzetflWC_YxLHtlThA,Moe,useful,11
user-vote,9X8QyzetflWC_YxLHtlThA,Moe,cool,4
user-vote,4gZbLClNlqXKkALIyKgXKA,Michael,funny,2
user-vote,4gZbLClNlqXKkALIyKgXKA,Michael,useful,13
user-vote,4gZbLClNlqXKkALIyKgXKA,Michael,cool,1
user-vote,KkDgTYG7NkPQ7RWj6L6xlA,sam,funny,1
user-vote,KkDgTYG7NkPQ7RWj6L6xlA,sam,useful,7
user-vote,KkDgTYG7NkPQ7RWj6L6xlA,sam,cool,1
user-vote,OxG-tdvCgjDbnOtrINqbmQ,Will,funny,0
user-vote,OxG-tdvCgjDbnOtrINqbmQ,Will,useful,1
user-vote,OxG-tdvCgjDbnOtrINqbmQ,Will,cool,0
user-vote,U3WRpYFHwBNLGPmZkmKWGA,Beth,funny,5
user-vote,U3WRpYFHwBNLGPmZkmKWGA,Beth,useful,15
user-vote,U3WRpYFHwBNLGPmZkmKWGA,Beth,cool,1
user-vote,TLnLi5U0T3AA3JTJiFz8jA,Jesus,funny,31
user-vote,TLnLi5U0T3AA3JTJiFz8jA,Jesus,useful,150
user-vote,TLnLi5U0T3AA3JTJiFz8jA,Jesus,cool,54
user-vote,H4QX9LyLjplcQGV3feuiLw,Serena,funny,0
user-vote,H4QX9LyLjplcQGV3feuiLw,Serena,useful,1
user-vote,H4QX9LyLjplcQGV3feuiLw,Serena,cool,0
user-vote,DVHVzs67khC_fPDWG1YJvA,Kitty,funny,0
user-vote,DVHVzs67khC_fPDWG1YJvA,Kitty,useful,0
user-vote,DVHVzs67khC_fPDWG1YJvA,Kitty,cool,0
user-vote,C1IHVBsXnA8A8W-7tyhgrw,Jessee,funny,3
user-vote,C1IHVBsXnA8A8W-7tyhgrw,Jessee,useful,8
user-vote,C1IHVBsXnA8A8W-7tyhgrw,Jessee,cool,1
user-vote,4qRz_FoKPwHNvPdESPa8xA,Priscilla,funny,127
user-vote,4qRz_FoKPwHNvPdESPa8xA,Priscilla,useful,243
user-vote,4qRz_FoKPwHNvPdESPa8xA,Priscilla,cool,137
user-vote,Pog5uNIIgxw8IUfgp448cQ,Malissa,funny,0
user-vote,Pog5uNIIgxw8IUfgp448cQ,Malissa,useful,10
user-vote,Pog5uNIIgxw8IUfgp448cQ,Malissa,cool,1
user-vote,mg41gv9X5F45MKTjPv5Gug,Kathy,funny,0
user-vote,mg41gv9X5F45MKTjPv5Gug,Kathy,useful,1
user-vote,mg41gv9X5F45MKTjPv5Gug,Kathy,cool,0
user-vote,ryCJTUvjknHtseI7y519jA,Yunxia,funny,0
user-vote,ryCJTUvjknHtseI7y519jA,Yunxia,useful,0
user-vote,ryCJTUvjknHtseI7y519jA,Yunxia,cool,0
user-vote,rEmIPqVWuKQoB27YKRTLWw,Randy,funny,53
user-vote,rEmIPqVWuKQoB27YKRTLWw,Randy,useful,216
user-vote,rEmIPqVWuKQoB27YKRTLWw,Randy,cool,104
user-vote,fIRFQ3cYna9UK3CwFmYKfw,Jason,funny,164
user-vote,fIRFQ3cYna9UK3CwFmYKfw,Jason,useful,480
user-vote,fIRFQ3cYna9UK3CwFmYKfw,Jason,cool,143
user-vote,WdABzvmbqnYnjZQq7xfwpA,Luis,funny,0
user-vote,WdABzvmbqnYnjZQq7xfwpA,Luis,useful,0
user-vote,WdABzvmbqnYnjZQq7xfwpA,Luis,cool,0
user-vote,0TtJc5wcPEvJyNJPlNP_TQ,Joseph,funny,1
user-vote,0TtJc5wcPEvJyNJPlNP_TQ,Joseph,useful,2
user-vote,0TtJc5wcPEvJyNJPlNP_TQ,Joseph,cool,0
user-vote,njig3qnNJQS0CyHKhbAsvQ,Braun,funny,3
user-vote,njig3qnNJQS0CyHKhbAsvQ,Braun,useful,24
user-vote,njig3qnNJQS0CyHKhbAsvQ,Braun,cool,2
user-vote,BqTkRSlL9IZX6soKJeyJmA,Brett,funny,5
user-vote,BqTkRSlL9IZX6soKJeyJmA,Brett,useful,27
user-vote,BqTkRSlL9IZX6soKJeyJmA,Brett,cool,2
user-vote,308XHhV54f8HX0JA3HLx4Q,Kyle,funny,0
user-vote,308XHhV54f8HX0JA3HLx4Q,Kyle,useful,1
user-vote,308XHhV54f8HX0JA3HLx4Q,Kyle,cool,0
user-vote,a5Tu7TMtht2zod-8CFd5oA,Andrew,funny,118
user-vote,a5Tu7TMtht2zod-8CFd5oA,Andrew,useful,123
user-vote,a5Tu7TMtht2zod-8CFd5oA,Andrew,cool,50
user-vote,agv6ipHo6pKdjgn5DoJMKw,Robert,funny,2
user-vote,agv6ipHo6pKdjgn5DoJMKw,Robert,useful,11
user-vote,agv6ipHo6pKdjgn5DoJMKw,Robert,cool,1
user-vote,FXJvXFCdrFLIgVW3Krz7SA,H,funny,0
user-vote,FXJvXFCdrFLIgVW3Krz7SA,H,useful,1
user-vote,FXJvXFCdrFLIgVW3Krz7SA,H,cool,0
user-vote,yFWqwQvyTzQTD9BqOdyuNw,Stephanie,funny,3
user-vote,yFWqwQvyTzQTD9BqOdyuNw,Stephanie,useful,4
user-vote,yFWqwQvyTzQTD9BqOdyuNw,Stephanie,cool,7
user-vote,tiB16GhmXmnD7Vr32vvm6g,Hiromi,funny,2
user-vote,tiB16GhmXmnD7Vr32vvm6g,Hiromi,useful,2
user-vote,tiB16GhmXmnD7Vr32vvm6g,Hiromi,cool,2
user-vote,CwjgtB8JgmIwKW4n6nM8ZA,Erin,funny,1
user-vote,CwjgtB8JgmIwKW4n6nM8ZA,Erin,useful,1
user-vote,CwjgtB8JgmIwKW4n6nM8ZA,Erin,cool,0
user-vote,5ziDkgdxceV2sSYSVMPtJw,Brent,funny,1
user-vote,5ziDkgdxceV2sSYSVMPtJw,Brent,useful,4
user-vote,5ziDkgdxceV2sSYSVMPtJw,Brent,cool,1
user-vote,SBSGk1GPglW8KrUWObuNUg,Nicki,funny,0
user-vote,SBSGk1GPglW8KrUWObuNUg,Nicki,useful,0
user-vote,SBSGk1GPglW8KrUWObuNUg,Nicki,cool,0
user-vote,PFHdQ-Up_uCkBTNQBGGNRw,Paul,funny,0
user-vote,PFHdQ-Up_uCkBTNQBGGNRw,Paul,useful,3
user-vote,PFHdQ-Up_uCkBTNQBGGNRw,Paul,cool,1
user-vote,tGBRNR0sw62l3Zk_BTgGbQ,Francoise,funny,0
user-vote,tGBRNR0sw62l3Zk_BTgGbQ,Francoise,useful,0
user-vote,tGBRNR0sw62l3Zk_BTgGbQ,Francoise,cool,0
user-vote,POReV3_TSO6iL3TsmR4wQg,Cindy,funny,0
user-vote,POReV3_TSO6iL3TsmR4wQg,Cindy,useful,5
user-vote,POReV3_TSO6iL3TsmR4wQg,Cindy,cool,1
user-vote,EX1lgywUB79qN2uGH-nKuA,NDA,funny,2
user-vote,EX1lgywUB79qN2uGH-nKuA,NDA,useful,8
user-vote,EX1lgywUB79qN2uGH-nKuA,NDA,cool,0
user-vote,3HtQL9LA6JPqDUmIfw0Bzw,Shanell,funny,1
user-vote,3HtQL9LA6JPqDUmIfw0Bzw,Shanell,useful,4
user-vote,3HtQL9LA6JPqDUmIfw0Bzw,Shanell,cool,0
user-vote,5HLK-BQKOQHYM1vEsc48-w,Joe,funny,0
user-vote,5HLK-BQKOQHYM1vEsc48-w,Joe,useful,5
user-vote,5HLK-BQKOQHYM1vEsc48-w,Joe,cool,2
user-vote,g3b2N_zqd3I0pmK2axlWzg,Jasen,funny,1
user-vote,g3b2N_zqd3I0pmK2axlWzg,Jasen,useful,5
user-vote,g3b2N_zqd3I0pmK2axlWzg,Jasen,cool,1
user-vote,d2JWb5loJ8BrggXJikKLpg,t,funny,72
user-vote,d2JWb5loJ8BrggXJikKLpg,t,useful,160
user-vote,d2JWb5loJ8BrggXJikKLpg,t,cool,78
user-vote,hzuPLuA3LpOMN981IF2d_Q,David,funny,0
user-vote,hzuPLuA3LpOMN981IF2d_Q,David,useful,4
user-vote,hzuPLuA3LpOMN981IF2d_Q,David,cool,2
user-vote,qlrLvjLFFWg5Y03wOAU7dg,Jeanne,funny,0
user-vote,qlrLvjLFFWg5Y03wOAU7dg,Jeanne,useful,4
user-vote,qlrLvjLFFWg5Y03wOAU7dg,Jeanne,cool,1
user-vote,PSMSlwWCvi5XqvlOBIscwg,Andy,funny,0
user-vote,PSMSlwWCvi5XqvlOBIscwg,Andy,useful,1
user-vote,PSMSlwWCvi5XqvlOBIscwg,Andy,cool,0
user-vote,VbwTN3cbwQKW0Uc1_zfWIg,Melissa,funny,16
user-vote,VbwTN3cbwQKW0Uc1_zfWIg,Melissa,useful,24
user-vote,VbwTN3cbwQKW0Uc1_zfWIg,Melissa,cool,1
user-vote,J_2iu0G51hEyMLlBtLrCgw,Lani,funny,3
user-vote,J_2iu0G51hEyMLlBtLrCgw,Lani,useful,17
user-vote,J_2iu0G51hEyMLlBtLrCgw,Lani,cool,6
user-vote,hHCs1Y5Z5gQaRyp7dRZc1Q,BJ,funny,6
user-vote,hHCs1Y5Z5gQaRyp7dRZc1Q,BJ,useful,0
user-vote,hHCs1Y5Z5gQaRyp7dRZc1Q,BJ,cool,0
user-vote,KPGAaq6IDsBk5uWqFi5eEA,Julien,funny,0
user-vote,KPGAaq6IDsBk5uWqFi5eEA,Julien,useful,0
user-vote,KPGAaq6IDsBk5uWqFi5eEA,Julien,cool,0
user-vote,uFmm0SagYjoSKqMwKFoWHA,Kirstyn,funny,0
user-vote,uFmm0SagYjoSKqMwKFoWHA,Kirstyn,useful,1
user-vote,uFmm0SagYjoSKqMwKFoWHA,Kirstyn,cool,0
user-vote,0QeTvYeA6x9ofMJhkI9DQw,Kathleen,funny,0
user-vote,0QeTvYeA6x9ofMJhkI9DQw,Kathleen,useful,1
user-vote,0QeTvYeA6x9ofMJhkI9DQw,Kathleen,cool,0
user-vote,ZsmWDuv9VvLewyj-v8BldQ,Anonymous,funny,0
user-vote,ZsmWDuv9VvLewyj-v8BldQ,Anonymous,useful,1
user-vote,ZsmWDuv9VvLewyj-v8BldQ,Anonymous,cool,0
user-vote,kvfBYo5SzyeotTvxOac9YQ,Jon,funny,4
user-vote,kvfBYo5SzyeotTvxOac9YQ,Jon,useful,21
user-vote,kvfBYo5SzyeotTvxOac9YQ,Jon,cool,5
user-vote,3yc5JeWwQVhjx22Lx6OQ0Q,John,funny,19
user-vote,3yc5JeWwQVhjx22Lx6OQ0Q,John,useful,26
user-vote,3yc5JeWwQVhjx22Lx6OQ0Q,John,cool,17
user-vote,hitUGWYrn8DZWkKo9y-vqA,Leonard,funny,0
user-vote,hitUGWYrn8DZWkKo9y-vqA,Leonard,useful,8
user-vote,hitUGWYrn8DZWkKo9y-vqA,Leonard,cool,4
user-vote,IWrHpRERnzZSF_f8GTAYcA,Rachel,funny,0
user-vote,IWrHpRERnzZSF_f8GTAYcA,Rachel,useful,0
user-vote,IWrHpRERnzZSF_f8GTAYcA,Rachel,cool,0
user-vote,Bp4jUH7cmpRRIPHUSqSAMg,Adam,funny,0
user-vote,Bp4jUH7cmpRRIPHUSqSAMg,Adam,useful,17
user-vote,Bp4jUH7cmpRRIPHUSqSAMg,Adam,cool,0
user-vote,3js7WQd_PnHqNOtcxEnbXQ,Amit,funny,1
user-vote,3js7WQd_PnHqNOtcxEnbXQ,Amit,useful,4
user-vote,3js7WQd_PnHqNOtcxEnbXQ,Amit,cool,1
user-vote,cgoX_o37gaOm2S0kMtqORQ,Kasey,funny,0
user-vote,cgoX_o37gaOm2S0kMtqORQ,Kasey,useful,8
user-vote,cgoX_o37gaOm2S0kMtqORQ,Kasey,cool,6
user-vote,GrBCuXatrBQ9k6sODMF_qQ,Divine,funny,0
user-vote,GrBCuXatrBQ9k6sODMF_qQ,Divine,useful,19
user-vote,GrBCuXatrBQ9k6sODMF_qQ,Divine,cool,1
user-vote,woQL6Al8Iutd7VcQ5Y9EVQ,Johnny,funny,1
user-vote,woQL6Al8Iutd7VcQ5Y9EVQ,Johnny,useful,5
user-vote,woQL6Al8Iutd7VcQ5Y9EVQ,Johnny,cool,1
user-vote,Dkaj-rzNMuv9kxsbYOi7NA,Alexandra,funny,88
user-vote,Dkaj-rzNMuv9kxsbYOi7NA,Alexandra,useful,179
user-vote,Dkaj-rzNMuv9kxsbYOi7NA,Alexandra,cool,73
user-vote,WciLWXESuI8QWfgcjbRWmw,Robert,funny,0
user-vote,WciLWXESuI8QWfgcjbRWmw,Robert,useful,2
user-vote,WciLWXESuI8QWfgcjbRWmw,Robert,cool,1
user-vote,eFnBybsO_n7vUBaCwJKRBw,TJ,funny,6
user-vote,eFnBybsO_n7vUBaCwJKRBw,TJ,useful,9
user-vote,eFnBybsO_n7vUBaCwJKRBw,TJ,cool,9
user-vote,SvFcgShKR6_BB_MPLv_krg,David,funny,1
user-vote,SvFcgShKR6_BB_MPLv_krg,David,useful,16
user-vote,SvFcgShKR6_BB_MPLv_krg,David,cool,2
user-vote,pzqS9qDW9oK6FbLDzbbchA,Shari,funny,3
user-vote,pzqS9qDW9oK6FbLDzbbchA,Shari,useful,17
user-vote,pzqS9qDW9oK6FbLDzbbchA,Shari,cool,7
user-vote,7AQVnUUfwPD_CKbJQXBktw,Ann,funny,0
user-vote,7AQVnUUfwPD_CKbJQXBktw,Ann,useful,2
user-vote,7AQVnUUfwPD_CKbJQXBktw,Ann,cool,0
user-vote,J__cljM4Ap1VGfyZvwc3rQ,Don,funny,0
user-vote,J__cljM4Ap1VGfyZvwc3rQ,Don,useful,1
user-vote,J__cljM4Ap1VGfyZvwc3rQ,Don,cool,2
user-vote,ukjs1KQMg3CenzKn9X0XDw,George,funny,53
user-vote,ukjs1KQMg3CenzKn9X0XDw,George,useful,175
user-vote,ukjs1KQMg3CenzKn9X0XDw,George,cool,56
user-vote,YGLtYCiaiJf4czHsPr_JIQ,Coby,funny,1
user-vote,YGLtYCiaiJf4czHsPr_JIQ,Coby,useful,2
user-vote,YGLtYCiaiJf4czHsPr_JIQ,Coby,cool,1
user-vote,o3gcepOoOBlzsKFudV019Q,Traci,funny,7
user-vote,o3gcepOoOBlzsKFudV019Q,Traci,useful,21
user-vote,o3gcepOoOBlzsKFudV019Q,Traci,cool,3
user-vote,JrWrw-hUOKPil_wgCk5Yhg,Steven,funny,9
user-vote,JrWrw-hUOKPil_wgCk5Yhg,Steven,useful,12
user-vote,JrWrw-hUOKPil_wgCk5Yhg,Steven,cool,1
user-vote,dvnk4Sq80OzhcIptr8MBIg,LT,funny,19
user-vote,dvnk4Sq80OzhcIptr8MBIg,LT,useful,100
user-vote,dvnk4Sq80OzhcIptr8MBIg,LT,cool,29
user-vote,F8Zrkrccc6RI1Dd3e8z0dw,ray,funny,1
user-vote,F8Zrkrccc6RI1Dd3e8z0dw,ray,useful,2
user-vote,F8Zrkrccc6RI1Dd3e8z0dw,ray,cool,2
user-vote,zfss3-uFf5hEp_-iLIrI4g,Melissa,funny,0
user-vote,zfss3-uFf5hEp_-iLIrI4g,Melissa,useful,0
user-vote,zfss3-uFf5hEp_-iLIrI4g,Melissa,cool,1
user-vote,LPfoWGML8jqpHLTTkdsIUQ,Tia,funny,13
user-vote,LPfoWGML8jqpHLTTkdsIUQ,Tia,useful,46
user-vote,LPfoWGML8jqpHLTTkdsIUQ,Tia,cool,32
user-vote,fDuc8LCiBOiLAPMkty7kiw,Julie,funny,0
user-vote,fDuc8LCiBOiLAPMkty7kiw,Julie,useful,1
user-vote,fDuc8LCiBOiLAPMkty7kiw,Julie,cool,0
user-vote,ysV8DGKNTTC0LSACW8Q_7g,Kelsey,funny,107
user-vote,ysV8DGKNTTC0LSACW8Q_7g,Kelsey,useful,339
user-vote,ysV8DGKNTTC0LSACW8Q_7g,Kelsey,cool,184
user-vote,wqo1d4FchsWkINFwcAnfCw,Silvia,funny,0
user-vote,wqo1d4FchsWkINFwcAnfCw,Silvia,useful,0
user-vote,wqo1d4FchsWkINFwcAnfCw,Silvia,cool,0
user-vote,jNY87M_83gIolkmHp5Psng,Jamee,funny,0
user-vote,jNY87M_83gIolkmHp5Psng,Jamee,useful,0
user-vote,jNY87M_83gIolkmHp5Psng,Jamee,cool,0
user-vote,QeKDIiECEI1fV4y-klrfBQ,Jeffrey,funny,11
user-vote,QeKDIiECEI1fV4y-klrfBQ,Jeffrey,useful,7
user-vote,QeKDIiECEI1fV4y-klrfBQ,Jeffrey,cool,2
user-vote,6bXk9bzWj-HbkWlmmkzQMw,Kellan,funny,0
user-vote,6bXk9bzWj-HbkWlmmkzQMw,Kellan,useful,0
user-vote,6bXk9bzWj-HbkWlmmkzQMw,Kellan,cool,0
user-vote,EJiXnx6G-Psedp-TYwJL0g,Troy,funny,3
user-vote,EJiXnx6G-Psedp-TYwJL0g,Troy,useful,25
user-vote,EJiXnx6G-Psedp-TYwJL0g,Troy,cool,3
user-vote,Z20m7tPG1UJbOOZEH-RLAw,Mandy,funny,0
user-vote,Z20m7tPG1UJbOOZEH-RLAw,Mandy,useful,1
user-vote,Z20m7tPG1UJbOOZEH-RLAw,Mandy,cool,1
user-vote,TmI_CR73j10KuwRoBNbCqQ,Roget,funny,0
user-vote,TmI_CR73j10KuwRoBNbCqQ,Roget,useful,0
user-vote,TmI_CR73j10KuwRoBNbCqQ,Roget,cool,0
user-vote,qIE7fYpjyuyr99gCV7234A,Camille,funny,0
user-vote,qIE7fYpjyuyr99gCV7234A,Camille,useful,0
user-vote,qIE7fYpjyuyr99gCV7234A,Camille,cool,0
user-vote,CKVWoi2onRNmRKnpigtP9Q,Emily,funny,0
user-vote,CKVWoi2onRNmRKnpigtP9Q,Emily,useful,1
user-vote,CKVWoi2onRNmRKnpigtP9Q,Emily,cool,0
user-vote,c2ABi-SStrUelgJ4nkq4eg,Paul,funny,0
user-vote,c2ABi-SStrUelgJ4nkq4eg,Paul,useful,5
user-vote,c2ABi-SStrUelgJ4nkq4eg,Paul,cool,0
user-vote,vBt_-Nzv1wEqD7CBvnJtLQ,Christopher,funny,0
user-vote,vBt_-Nzv1wEqD7CBvnJtLQ,Christopher,useful,7
user-vote,vBt_-Nzv1wEqD7CBvnJtLQ,Christopher,cool,1
user-vote,vTdEV7x1dPJQHQfhgBM6-g,Cindy,funny,17
user-vote,vTdEV7x1dPJQHQfhgBM6-g,Cindy,useful,54
user-vote,vTdEV7x1dPJQHQfhgBM6-g,Cindy,cool,20
user-vote,OT2twwuOmOOr-JT8oJ37Kg,Brigitte,funny,0
user-vote,OT2twwuOmOOr-JT8oJ37Kg,Brigitte,useful,8
user-vote,OT2twwuOmOOr-JT8oJ37Kg,Brigitte,cool,4
user-vote,4mwGAaTISGxOPgsXLgXsIA,A. David,funny,1
user-vote,4mwGAaTISGxOPgsXLgXsIA,A. David,useful,6
user-vote,4mwGAaTISGxOPgsXLgXsIA,A. David,cool,0
